版本,阶段,方法,artifact,artifact存在,主任务训练范围,主任务留出范围,语言/空间泛化,可训练参数,模型大小MB,固定视频,视频审计通过,viewer命令存在,训练或采集命令存在,论文红线,入包状态,需补齐
torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,PyTorch State ACT-CVAE-lite,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,是,0/5,0/5,0/5,198375,0.789,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,是,是,是,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,通过,无
visual_feature_act_lite_v1,visual_feature_act_baseline,Visual-Feature ACT-lite,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,是,0/5,0/5,0/5,186247,0.743,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,是,是,是,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,通过,无
visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,Visual ACT-CNN-CVAE-lite,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,是,0/5,0/5,未登记,219335,0.873,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,是,是,是,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。,通过,无
object_language_action_head_lite_v1,vla_action_head_proxy,Object-Language Action Head-lite,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,是,1/5,0/5,0/5,106759,0.384,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,是,是,是,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。,通过,无
reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,Reward-Weighted Action Head-lite,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,是,0/5,0/5,0/5,106759,0.385,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,是,是,是,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。,通过,无
phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,Phase-Conditioned Action Head-lite,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,是,0/5,1/5,0/5,338915,1.219,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,是,是,是,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。,通过,无
adapter_action_head_lite_v1,peft_action_head_proxy,Adapter Action Head-lite,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,是,0/5,1/5,0/5,2119,0.393,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,是,是,是,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。,通过,无
lora_action_head_lite_v1,peft_action_head_proxy,LoRA-style Action Head-lite,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,是,0/5,1/5,0/5,2104,0.392,outputs/videos/lora_action_head_lite_v1_seed0.mp4,是,是,是,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。,通过,无
vision_language_action_head_lite_v1,vla_action_head_proxy,Vision-Language Action Head-lite,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,是,0/5,0/5,0/5,137991,0.495,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,是,是,是,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。,通过,无
clip_action_head_lite_v1,pretrained_vlm_action_head_proxy,Frozen CLIP Action Head-lite,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,是,0/5,0/5,0/5,302599,1.090,outputs/videos/clip_action_head_lite_v1_seed0.mp4,是,是,是,冻结 pretrained openai/clip-vit-base-patch32 图像/文本编码器，只训练轻量 MLP action head；这是通用 VLM 表征代理，不是 OpenVLA 或机器人 VLA。,通过,无
multi_task_object_action_head_lite_v1,multi_task_action_head_proxy,Multi-task Object-Language Action Head-lite,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,是,0/5,0/5,0/5,106759,0.384,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,是,是,是,使用 blue-pad、red-pad 和 leftmost-to-bowl 三个数据源训练；离线误差正常但闭环仍失败，说明 naive 多任务符号 action head 不足。,通过,无
