视频类型,版本,方法,阶段,任务,复杂度,seed,指令,活动物体,结果,目标距离,末端到物体距离,物体高度,抓取标志,帧数,fps,时长,视频文件,元数据文件,证据用途,论文红线
主任务固定片段,phase_conditioned_action_head_lite_v1,Phase-Conditioned Action Head-lite,phase_conditioned_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.1876,0.0249,False,238,24,9.9s,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.json,失败模式样例,不能写成学出了完整任务规划
主任务固定片段,adapter_action_head_lite_v1,Adapter Action Head-lite,peft_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.3361,0.0249,False,238,24,9.9s,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,outputs/videos/adapter_action_head_lite_v1_seed0.json,失败模式样例,不能写成 pretrained VLA LoRA/Adapter
主任务固定片段,lora_action_head_lite_v1,LoRA-style Action Head-lite,peft_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2818,0.0249,False,238,24,9.9s,outputs/videos/lora_action_head_lite_v1_seed0.mp4,outputs/videos/lora_action_head_lite_v1_seed0.json,失败模式样例,不能写成 pretrained VLA LoRA/Adapter
主任务固定片段,vision_language_action_head_lite_v1,Vision-Language Action Head-lite,vla_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2770,0.0249,False,238,24,9.9s,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,outputs/videos/vision_language_action_head_lite_v1_seed0.json,失败模式样例,不能写成 pretrained VLA 后训练
主任务固定片段,clip_action_head_lite_v1,Frozen CLIP Action Head-lite,pretrained_vlm_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0894,0.2027,0.0249,False,238,24,9.9s,outputs/videos/clip_action_head_lite_v1_seed0.mp4,outputs/videos/clip_action_head_lite_v1_seed0.json,失败模式样例,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练
主任务固定片段,multi_task_object_action_head_lite_v1,Multi-task Object-Language Action Head-lite,multi_task_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.2108,0.2522,0.0333,False,238,24,9.9s,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,outputs/videos/multi_task_object_action_head_lite_v1_seed0.json,失败模式样例,不能写成真正多任务 VLA 泛化
语言/空间泛化片段,expert_scripted_language_v1,expert,language_oracle,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=True,0.0143,-,0.0249,-,238,24,9.9s,outputs/videos/expert_scripted_language_v1_seed200.mp4,outputs/videos/expert_scripted_language_v1_seed200.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
语言/空间泛化片段,structured_waypoint_policy_v1,structured_waypoint_policy,structured_control_baseline,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=True,0.0143,0.1885,0.0249,False,238,24,9.9s,outputs/videos/structured_waypoint_policy_v1_language_seed200.mp4,outputs/videos/structured_waypoint_policy_v1_language_seed200.json,成功样例,不能写成 learned VLA 或语言泛化模型
语言/空间泛化片段,torch_act_state_chunk_cuda_v1,torch_act_cuda,torch_act_baseline,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.6208,0.0249,False,238,24,9.9s,outputs/videos/torch_act_state_chunk_cuda_v1_language_seed200.mp4,outputs/videos/torch_act_state_chunk_cuda_v1_language_seed200.json,失败模式样例,不能写成完整视觉 ACT
语言/空间泛化片段,torch_act_cvae_state_chunk_v1,torch_act_cvae,torch_act_cvae_baseline,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2370,0.0249,False,238,24,9.9s,outputs/videos/torch_act_cvae_state_chunk_v1_language_seed200.mp4,outputs/videos/torch_act_cvae_state_chunk_v1_language_seed200.json,失败模式样例,不能写成完整视觉 ACT 或机器人 ACT 复现
语言/空间泛化片段,visual_feature_act_lite_v1,visual_feature_act,visual_feature_act_baseline,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.1992,0.0249,False,238,24,9.9s,outputs/videos/visual_feature_act_lite_v1_language_seed200.mp4,outputs/videos/visual_feature_act_lite_v1_language_seed200.json,失败模式样例,不能写成端到端 CNN/Transformer 视觉 ACT
语言/空间泛化片段,object_language_action_head_lite_v1,object_action_head,vla_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2847,0.0249,False,238,24,9.9s,outputs/videos/object_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/object_language_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成 pretrained VLA 后训练
语言/空间泛化片段,reward_weighted_action_head_lite_v1,reward_weighted_action_head,reward_weighted_bc_post_training,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2448,0.0249,False,238,24,9.9s,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.mp4,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成在线 RL 或真实 preference optimization
语言/空间泛化片段,phase_conditioned_action_head_lite_v1,phase_action_head,phase_conditioned_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2331,0.1411,0.0249,False,238,24,9.9s,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.mp4,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成学出了完整任务规划
语言/空间泛化片段,adapter_action_head_lite_v1,adapter_action_head,peft_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2841,0.0249,False,238,24,9.9s,outputs/videos/adapter_action_head_lite_v1_language_seed200.mp4,outputs/videos/adapter_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成 pretrained VLA LoRA/Adapter
语言/空间泛化片段,lora_action_head_lite_v1,lora_action_head,peft_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2851,0.0249,False,238,24,9.9s,outputs/videos/lora_action_head_lite_v1_language_seed200.mp4,outputs/videos/lora_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成 pretrained VLA LoRA/Adapter
语言/空间泛化片段,vision_language_action_head_lite_v1,vision_language_action_head,vla_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.3307,0.1679,0.0249,False,238,24,9.9s,outputs/videos/vision_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/vision_language_action_head_lite_v1_language_seed200.json,失败模式样例,不能写成 pretrained VLA 后训练
语言/空间泛化片段,clip_action_head_lite_v1,clip_action_head,pretrained_vlm_action_head_proxy,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2377,0.0249,False,238,24,9.9s,outputs/videos/clip_action_head_lite_v1_language_seed200.mp4,outputs/videos/clip_action_head_lite_v1_language_seed200.json,失败模式样例,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练
语言/空间泛化片段,multi_task_object_action_head_lite_v1,multi_task_object_action_head,multi_task_action_head_proxy,move_leftmost_to_bowl,language,400,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, blue_cylinder, green_ball",success=False,0.3761,0.1227,0.0249,False,238,24,9.9s,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.mp4,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.json,失败模式样例,不能写成真正多任务 VLA 泛化
语言/空间泛化片段,torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy,torch_diffusion_policy_baseline,move_leftmost_to_bowl,language,200,move the leftmost object to the bowl,"red_cube, red_cylinder, yellow_cube, green_cube, blue_cylinder",success=False,0.2387,0.2442,0.0249,False,238,24,9.9s,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.json,失败模式样例,不能写成完整视觉 Diffusion Policy
补充片段,clip_core_v2_multitask_v1,clip_action_head,extra_video_evidence,move_leftmost_cube_to_bowl,language,420,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball",success=False,0.2682,0.2687,0.0249,False,238,24,9.9s,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,clip_core_v2_multitask_v1,clip_action_head,extra_video_evidence,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.1196,0.2827,0.0249,False,238,24,9.9s,outputs/videos/clip_core_v2_multitask_v1_seed0.mp4,outputs/videos/clip_core_v2_multitask_v1_seed0.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,clip_semantic_ood_hard_leftmost_cube,clip_semantic_waypoint,extra_video_evidence,move_leftmost_cube_to_bowl,hard,1300,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball, red_cylinder, blue_cylinder",success=True,0.0091,-,-,False,357,30,11.9s,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.mp4,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,clip_semantic_ood_paraphrase_blue_to_red,clip_semantic_waypoint,extra_video_evidence,place_blue_cube_red_pad,medium,700,put the azure block on the red disk,"blue_cube, green_cube, blue_cylinder",success=False,0.1051,-,-,False,357,30,11.9s,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,clip_semantic_waypoint_core_v2_v1,clip_semantic_waypoint,extra_video_evidence,move_leftmost_cube_to_bowl,language,420,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball",success=True,0.0091,-,-,False,357,30,11.9s,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_aware_phase_gated_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.1401,0.3372,0.0249,False,238,24,9.9s,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_aware_trajectory_knn_v1_candidate,contact_aware_trajectory_knn,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0111,0.1781,0.0249,False,238,24,9.9s,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_hold_weighted_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.2391,0.2483,0.0249,False,238,24,9.9s,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_phase_gated_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.1393,0.2072,0.0249,False,238,24,9.9s,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_stage_demo_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.1719,0.1020,0.0304,False,238,24,9.9s,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_stage_phase_action_head_v1_candidate,phase_action_head,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,101,place the blue cube on the blue pad,"blue_cube, green_cube, red_cube",success=True,0.0528,0.1388,0.0242,False,238,24,9.9s,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,contact_stage_subpolicy_v1_candidate,contact_stage_subpolicy,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0090,-,0.0249,False,238,24,9.9s,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,core_v2_expert_leftmost_cube_holdout,expert,extra_video_evidence,move_leftmost_cube_to_bowl,language,420,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball",success=True,0.0091,-,0.0249,-,238,24,9.9s,outputs/videos/core_v2_expert_leftmost_cube_seed420.mp4,outputs/videos/core_v2_expert_leftmost_cube_seed420.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,object_action_head_core_v2_train20_failure,object_action_head,extra_video_evidence,move_leftmost_cube_to_bowl,language,420,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball",success=False,0.2682,0.2311,0.0249,False,238,24,9.9s,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.mp4,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,domain_randomization_structured_low_friction_v1,structured_waypoint_policy,extra_video_evidence,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0233,0.1785,0.0249,False,238,24,9.9s,outputs/videos/domain_randomization_structured_low_friction_seed0.mp4,outputs/videos/domain_randomization_structured_low_friction_seed0.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,domain_randomization_trajectory_knn_low_friction_v1,trajectory_knn_bc,extra_video_evidence,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0729,0.1534,0.0249,False,238,24,9.9s,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.mp4,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,domain_randomization_visual_act_cnn_cvae_low_friction_v1,visual_act_cnn_cvae,extra_video_evidence,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2403,0.0249,False,238,24,9.9s,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.mp4,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,grasp_gated_torch_act_state_chunk_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0831,0.2358,0.0249,False,238,24,9.9s,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,grasp_gated_trajectory_chunk_bc,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0562,0.0816,0.0355,False,238,24,9.9s,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,grasp_gated_trajectory_knn_v1_candidate,grasp_gated_trajectory_knn,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0175,0.1914,0.0249,False,238,24,9.9s,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,grasp_lift_subpolicy_probe_v1_candidate,grasp_lift_subpolicy_probe,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0056,-,0.0249,False,238,24,9.9s,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
