version,stage,stage_label,method,artifact,train,heldout,language,train_rate,heldout_rate,language_rate,result_bucket,trainable_params,artifact_size_mb,train_time_seconds,peak_vram_mb,fixed_video,note,paper_redline,viewer_command
torch_act_state_chunk_cuda_v1,torch_act_baseline,PyTorch ACT-style,PyTorch State Transformer ACT CUDA,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,0/5,1/5,0/5,0%,20%,0%,partial,178183,0.709,17.458892599999672,71.27001953125,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_cuda_20260720_095442.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
torch_act_state_chunk_v1,torch_act_baseline,PyTorch ACT-style,PyTorch State Transformer ACT,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,1/5,0/5,0/5,20%,0%,0%,partial,178183,0.708,38.46301059999678,0,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,ACT-CVAE-lite,PyTorch State ACT-CVAE-lite,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,0/5,0/5,0/5,0%,0%,0%,failed,198375,0.789,37.49063409999508,0,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act_cvae\torch_act_cvae_state_chunk_20260720_084842.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
visual_feature_act_lite_v1,visual_feature_act_baseline,Visual-Feature ACT-lite,Visual-Feature ACT-lite,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,0/5,0/5,0/5,0%,0%,0%,failed,186247,0.743,307.56765961647034,0,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_feature_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_feature_act\visual_feature_act_lite_20260720_091256.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,Visual ACT-CNN-CVAE-lite,Visual ACT-CNN-CVAE-lite,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,0/5,0/5,未登记,0%,0%,-,failed,219335,0.873,17.118782899997314,110.6494140625,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_act_cnn_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_act_cnn_cvae\visual_act_cnn_cvae_20260720_115104.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy-lite,Diffusion Policy-lite,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,0/5,0/5,0/5,0%,0%,0%,failed,132408,0.476,,,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\diffusion_policy\diffusion_policy_lite_20260720_042215.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --deterministic --action-alpha 0.8 --max-arm-delta 0.03 --max-gripper-delta 0.001 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,PyTorch Diffusion Policy,PyTorch State Diffusion Policy,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,0/5,0/5,0/5,0%,0%,0%,failed,183111,0.732,10.262407499998517,72.12744140625,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_diffusion_policy\torch_diffusion_policy_state_chunk_20260720_101928.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --sample-steps 4 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 8 --temporal-ensemble --ensemble-decay 0.1 --deterministic --stop-on-unsafe --log-every 500"
object_language_action_head_lite_v1,vla_action_head_proxy,VLA Action-head 代理,Object-Language Action Head-lite,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,1/5,0/5,0/5,20%,0%,0%,partial,106759,0.384,,,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\object_action_head_lite_20260720_044703.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
vision_language_action_head_lite_v1,vla_action_head_proxy,VLA Action-head 代理,Vision-Language Action Head-lite,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,0/5,0/5,0/5,0%,0%,0%,failed,137991,0.495,57.0500373840332,,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_vision_language_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\vision_language_action_head\vision_language_action_head_lite_20260720_063123.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,Reward-weighted BC 代理,Reward-Weighted Action Head-lite,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,0/5,0/5,0/5,0%,0%,0%,failed,106759,0.385,45.874674797058105,,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\reward_weighted_action_head\reward_weighted_action_head_lite_20260720_080912.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,Phase Action-head,Phase-Conditioned Action Head-lite,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,0/5,1/5,0/5,0%,20%,0%,partial,338915,1.219,,,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_phase_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\phase_action_head\phase_conditioned_action_head_lite_20260720_082827.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --phase-mode progress --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.0003 --stop-on-unsafe --log-every 500"
adapter_action_head_lite_v1,peft_action_head_proxy,Adapter / LoRA-style 代理,Adapter Action Head-lite,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,0/5,1/5,0/5,0%,20%,0%,partial,2119,0.393,16.57701587677002,,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\adapter_action_head_lite_20260720_072914.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
lora_action_head_lite_v1,peft_action_head_proxy,Adapter / LoRA-style 代理,LoRA-style Action Head-lite,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,0/5,1/5,0/5,0%,20%,0%,partial,2104,0.392,16.023154258728027,,outputs/videos/lora_action_head_lite_v1_seed0.mp4,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\lora_action_head_lite_20260720_072913.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
