version,method,stage,artifact,artifact_size_mb,trainable_params,trainable_arrays,stored_samples,feature_dim,action_dim,history,horizon,diffusion_steps,train_mse,val_mse,train_time_seconds,peak_vram_mb,train_range_success,heldout_success,note
trajectory_knn_chunk_bc_v1,Trajectory-kNN Action-Chunk BC,trajectory_memory_baseline,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,32.923,0,,16284,1152,7,8,8,,,,,,5/5,0/5,历史观测检索动作块 baseline；可训练参数为 0，但需要存储轨迹窗口和动作块。
torch_act_state_chunk_v1,PyTorch State Transformer ACT,torch_act_baseline,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,0.708,178183,model_state,261280,144,7,8,8,,0.00413044,0.0479644,38.46301059999678,0,1/5,0/5,PyTorch Transformer encoder/decoder 动作块 baseline，更接近标准 ACT，但仍只使用状态特征。
torch_act_state_chunk_cuda_v1,PyTorch State Transformer ACT CUDA,torch_act_baseline,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,0.709,178183,model_state,261280,144,7,8,8,,0.00395427,0.0465359,17.458892599999672,71.27001953125,0/5,1/5,与 state-only PyTorch ACT 同结构的 CUDA 资源对照版本，不是策略结构改进；device=cuda，peak_vram_mb=71.27。
phase_conditioned_torch_act_v1,Phase-Conditioned PyTorch State ACT,torch_act_baseline,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,0.710,178503,model_state,261280,149,7,8,8,,0.00504595,0.0866736,12.979319299993222,71.3134765625,0/5,0/5,state-only PyTorch ACT 追加离散阶段 one-hot 的动作块 baseline；用于检验阶段条件是否能改善接触/抬升，不是完整视觉 ACT。
torch_act_cvae_state_chunk_v1,PyTorch State ACT-CVAE-lite,torch_act_cvae_baseline,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,0.789,198375,model_state,261280,144,7,8,8,,0.00529178,0.0371005,37.49063409999508,0,0/5,0/5,PyTorch state-only ACT-CVAE-lite baseline，训练 posterior latent、推理使用 zero latent，不含视觉 encoder；latent_dim=16。
visual_feature_act_lite_v1,Visual-Feature ACT-lite,visual_feature_act_baseline,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,0.743,186247,model_state,5000,274,7,4,8,,0.00959157,0.0514751,307.56765961647034,0,0/5,0/5,MuJoCo 离线重渲染 RGB pooled features + 语言/本体状态的 Transformer ACT-lite；不是完整 CNN 视觉 ACT。
visual_act_cnn_cvae_v1,Visual ACT-CNN-CVAE-lite,visual_act_cnn_cvae_baseline,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,0.873,219335,model_state,1600,110,7,4,8,,0.0528724,0.0392107,17.118782899997314,110.6494140625,0/5,0/5,小型 CNN 编码 MuJoCo RGB，拼接语言 token 和本体状态，再用 Transformer ACT-CVAE 输出动作块；这是本地视觉 ACT-CVAE-lite baseline，不是官方完整 ACT。
object_language_action_head_lite_v1,Object-Language Action Head-lite,vla_action_head_proxy,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,0.384,106759,"w0,b0,w1,b1,w2,b2",261280,152,7,,,,2.48516e-05,0.00016621,,,1/5,0/5,轻量 action-head 代理基线；不是 pretrained VLM/VLA。
reward_weighted_action_head_lite_v1,Reward-Weighted Action Head-lite,reward_weighted_bc_post_training,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,0.385,106759,"w0,b0,w1,b1,w2,b2",306720,152,7,,,,0.000171942,0.000545053,45.874674797058105,,0/5,0/5,基于 attempt 偏好和 dense shaping 权重训练的 reward-weighted BC/action-head 后训练代理；不是 RL。
phase_conditioned_action_head_lite_v1,Phase-Conditioned Action Head-lite,phase_conditioned_action_head_proxy,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,1.219,338915,"phase0_w0,phase0_b0,phase0_w1,phase0_b1,phase0_w2,phase0_b2,phase1_w0,phase1_b0,phase1_w1,phase1_b1,phase1_w2,phase1_b2,phase2_w0,phase2_b0,phase2_w1,phase2_b1,phase2_w2,phase2_b2,phase3_w0,phase3_b0,phase3_w1,phase3_b1,phase3_w2,phase3_b2,phase4_w0,phase4_b0,phase4_w1,phase4_b1,phase4_w2,phase4_b2",261280,152,7,,,,0.000158655,0.0021929,,,0/5,1/5,显式拆分 approach、grasp、lift、transfer、place/release 五个阶段动作头；属于阶段条件 action-head 代理，不是 pretrained VLA。
adapter_action_head_lite_v1,Adapter Action Head-lite,peft_action_head_proxy,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,0.393,2119,"adapter_down,adapter_down_b,adapter_up,adapter_up_b",261280,152,7,,,,1.41002e-05,0.000167604,16.57701587677002,,0/5,1/5,冻结 object-language action-head 主干，仅训练小型 Adapter 残差模块；本地 PEFT 代理实验，不是 pretrained VLA Adapter。
lora_action_head_lite_v1,LoRA-style Action Head-lite,peft_action_head_proxy,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,0.392,2104,"lora_a,lora_b",261280,152,7,,,,1.43453e-05,0.000173899,16.023154258728027,,0/5,1/5,冻结 object-language action-head 主干，仅训练 LoRA-style 低秩输出残差；本地 PEFT 代理实验，不是 pretrained VLA LoRA。
vision_language_action_head_lite_v1,Vision-Language Action Head-lite,vla_action_head_proxy,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,0.495,137991,"w0,b0,w1,b1,w2,b2",4096,274,7,,,,0.000587377,0.0036308,57.0500373840332,,0/5,0/5,冻结 MuJoCo RGB 视觉代理特征 + 语言 token + 轻量 action head；不是 pretrained VLM/VLA。
clip_action_head_lite_v1,Frozen CLIP Action Head-lite,pretrained_vlm_action_head_proxy,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,1.090,302599,"w0,b0,w1,b1,w2,b2",512,1049,7,,,,0.00409149,0.0120736,30.652456521987915,,0/5,0/5,"冻结 pretrained CLIP 图像/文本编码器，只训练轻量 MLP action head；这是 VLM 表征代理，不是机器人 VLA；冻结 CLIP encoder 参数约 151,277,313。"
multi_task_object_action_head_lite_v1,Multi-task Object-Language Action Head-lite,multi_task_action_head_proxy,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,0.384,106759,"w0,b0,w1,b1,w2,b2",664560,152,7,,,,2.20465e-05,0.000901145,,,0/5,0/5,轻量 action-head 代理基线；不是 pretrained VLM/VLA。
