版本,阶段,阶段分组,方法,方法性质,视觉/状态输入,语言输入,训练方式,主任务训练范围,主任务留出范围,语言泛化,可训练参数,训练时间秒,峰值显存MB,artifact,固定视频,论文可写,论文红线,当前结论
trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,动作块 / 轨迹条件,Trajectory-kNN Action-Chunk BC,轨迹窗口 kNN,低维状态历史,无真实语言理解,历史轨迹检索,5/5 (100%),0/5 (0%),0/5 (0%),0,未记录,未记录,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,可说明动作块记忆与泛化差距,训练范围成功不能写成策略泛化,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。
torch_act_state_chunk_v1,torch_act_baseline,ACT-style,PyTorch State Transformer ACT,PyTorch Transformer ACT-style,state-only,无真实语言理解,Transformer 动作块监督学习,1/5 (20%),0/5 (0%),0/5 (0%),178183,38.46301059999678,0,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。
torch_act_state_chunk_cuda_v1,torch_act_baseline,ACT-style,PyTorch State Transformer ACT CUDA,PyTorch Transformer ACT-style,state-only,无真实语言理解,Transformer 动作块监督学习,0/5 (0%),1/5 (20%),0/5 (0%),178183,17.458892599999672,71.27001953125,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。
phase_conditioned_torch_act_v1,torch_act_baseline,ACT-style,Phase-Conditioned PyTorch State ACT,PyTorch Transformer ACT-style,state-only,无真实语言理解,Transformer 动作块监督学习,0/5 (0%),0/5 (0%),未评测,178503,12.979319299993222,71.3134765625,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。
torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,ACT-style,PyTorch State ACT-CVAE-lite,ACT-CVAE-lite,state-only,无真实语言理解,Transformer + CVAE latent 动作块监督学习,0/5 (0%),0/5 (0%),0/5 (0%),198375,37.49063409999508,0,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,可说明加入 CVAE latent 后的资源和闭环效果,不能写成完整视觉 ACT 或机器人 ACT 复现,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。
visual_feature_act_lite_v1,visual_feature_act_baseline,ACT-style,Visual-Feature ACT-lite,视觉特征 ACT-lite,MuJoCo RGB pooled features,任务 token,视觉代理特征 + Transformer 动作块,0/5 (0%),0/5 (0%),0/5 (0%),186247,307.56765961647034,0,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,可作为视觉代理输入的 ACT-lite 对照,不能写成端到端 CNN/Transformer 视觉 ACT,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。
visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,ACT-style,Visual ACT-CNN-CVAE-lite,CNN visual ACT-CVAE-lite,MuJoCo RGB + 小型 CNN encoder,任务 token,CNN 视觉编码 + Transformer ACT-CVAE 动作块,0/5 (0%),0/5 (0%),未评测,219335,17.118782899997314,110.6494140625,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,可作为更接近完整视觉 ACT 的本地轻量对照,不能写成官方完整 ACT 或真实机器人视觉 ACT 复现,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。
object_language_action_head_lite_v1,vla_action_head_proxy,VLA/action-head 代理,Object-Language Action Head-lite,轻量 action head,符号对象或 RGB 统计代理,任务 token / 符号语言条件,冻结特征 + MLP action head,1/5 (20%),0/5 (0%),0/5 (0%),106759,未记录,未记录,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,可作为本地 VLA action-head proxy,不能写成 pretrained VLA 后训练,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。
reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,轻量后训练代理,Reward-Weighted Action Head-lite,reward-weighted BC,符号对象代理,任务 token,按 attempt 偏好和 dense reward 加权,0/5 (0%),0/5 (0%),0/5 (0%),106759,45.874674797058105,未记录,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,可作为偏好/奖励加权后训练代理,不能写成在线 RL 或真实 preference optimization,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。
phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,VLA/action-head 代理,Phase-Conditioned Action Head-lite,阶段条件 action head,符号对象代理,任务 token / 阶段条件,五阶段 MLP action head,0/5 (0%),1/5 (20%),0/5 (0%),338915,未记录,未记录,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,可说明显式阶段条件的增益和局限,不能写成学出了完整任务规划,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。
adapter_action_head_lite_v1,peft_action_head_proxy,参数高效后训练代理,Adapter Action Head-lite,Adapter / LoRA-style 残差,符号对象代理,任务 token,冻结主干，仅训练小残差模块,0/5 (0%),1/5 (20%),0/5 (0%),2119,16.57701587677002,未记录,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,可对比 action head only / Adapter / LoRA-style 参数量,不能写成 pretrained VLA LoRA/Adapter,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。
lora_action_head_lite_v1,peft_action_head_proxy,参数高效后训练代理,LoRA-style Action Head-lite,Adapter / LoRA-style 残差,符号对象代理,任务 token,冻结主干，仅训练小残差模块,0/5 (0%),1/5 (20%),0/5 (0%),2104,16.023154258728027,未记录,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,outputs/videos/lora_action_head_lite_v1_seed0.mp4,可对比 action head only / Adapter / LoRA-style 参数量,不能写成 pretrained VLA LoRA/Adapter,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。
vision_language_action_head_lite_v1,vla_action_head_proxy,VLA/action-head 代理,Vision-Language Action Head-lite,轻量 action head,符号对象或 RGB 统计代理,任务 token / 符号语言条件,冻结特征 + MLP action head,0/5 (0%),0/5 (0%),0/5 (0%),137991,57.0500373840332,未记录,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,可作为本地 VLA action-head proxy,不能写成 pretrained VLA 后训练,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。
clip_action_head_lite_v1,pretrained_vlm_action_head_proxy,VLM 表征代理,Frozen CLIP Action Head-lite,Frozen CLIP action head,pretrained CLIP image embedding,pretrained CLIP text embedding,冻结 CLIP + 轻量 MLP action head,0/5 (0%),0/5 (0%),0/5 (0%),302599,30.652456521987915,未记录,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,outputs/videos/clip_action_head_lite_v1_seed0.mp4,可作为已有 VLM 表征 + action head 的本地代理,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练,冻结 pretrained openai/clip-vit-base-patch32 图像/文本编码器，只训练轻量 MLP action head；这是通用 VLM 表征代理，不是 OpenVLA 或机器人 VLA。
multi_task_object_action_head_lite_v1,multi_task_action_head_proxy,多任务 action-head 代理,Multi-task Object-Language Action Head-lite,naive 多任务 MLP action head,符号对象代理,任务 token,混合多个任务数据源监督训练,0/5 (0%),0/5 (0%),0/5 (0%),106759,未记录,未记录,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,可说明 naive 多任务混合不等于语言泛化,不能写成真正多任务 VLA 泛化,使用 blue-pad、red-pad 和 leftmost-to-bowl 三个数据源训练；离线误差正常但闭环仍失败，说明 naive 多任务符号 action head 不足。
