顺序,分组,cue_id,标题,媒体类型,媒体文件,建议起点秒,建议终点秒,时长秒,打开命令,备用viewer命令,讲解提示,证据引用,论文红线
14,Kaggle 远程补充实验,kaggle_clip_semantic_adapter_core_v2_ood_v1,Kaggle 冻结 CLIP 适配器的未见颜色同义词误判,video,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.mp4,0.0,11.9,11.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.mp4","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_semantic_waypoint.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_semantic_waypoint\kaggle_clip_semantic_adapter_core_v2_v1_kernel_v3.npz"" --task place_blue_cube_red_pad --instruction ""put the azure block on the red disk"" --complexity medium --seed 700 --episodes 1 --viewer --duration 45 --speed 0.25 --workspace-profile core_v2 --camera top_rgb --arm-kp 150 --arm-force 100 --gripper-kp 1200 --gripper-force 200 --friction 5 --place-tcp-z 0.041",先给出完整量化结果：未见英文改写 48/60、hard 多物体干扰 19/20。再播放这一条负例：指令要求 azure 蓝方块到红盘，模型却选择 red cube 到红盘。抓取动作发生不等于任务成功，必须同时报告 semantic_correct=False 和 task_success=False。,docs/kaggle_clip_semantic_adapter_core_v2_v1_report.md；docs/kaggle_clip_semantic_adapter_core_v2_ood_v1_report.md；outputs/evaluations/kaggle_clip_semantic_adapter_core_v2_ood_v1.json,这是冻结 VLM 高层语义分类的失败证据，不是连续动作策略失败，也不能据此声称端到端 VLA、OpenVLA LoRA 或真实机械臂能力。
15,候选诊断负例播放顺序,candidate_diagnostic_montage_v1,候选诊断总览短片,video,outputs/presentation_clips/07_candidate_diagnostics.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\07_candidate_diagnostics.mp4""",,先用 10 秒总览 22 个候选诊断视频，再按需要展开单个候选；重点说明目标距离成功、TCP 抬升和严格抓取成功必须分开报告。,docs/candidate_diagnostic_video_index.csv；docs/strict_grasp_success_audit.csv；docs/video_presentation_storyboard.md,候选诊断总览只用于解释失败模式和局部现象，不能写成完整 ACT、在线 RL、真实 VLA 后训练或真实 WidowX 成功。
16,候选诊断负例播放顺序,trajectory_phase_template_bc_v1_candidate,显式 phase 模板 / trajectory-conditioned BC 候选,video,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\trajectory_phase_template_bc_v1_candidate_seed1.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_phase_template_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_phase_template_bc\trajectory_phase_template_bc_20260720_160007.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 1 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --action-alpha 0.35 --max-arm-delta 0.018 --max-gripper-delta 0.0008 --stop-on-unsafe --log-every 500",该 seed 的放置指标成功，但 grasp_success=False、物体高度未抬升，说明它更像模板碰撞/推放，不是可靠抓取策略。,docs/trajectory_phase_template_bc_report.md；outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.json,只能作为 ACT/trajectory-conditioned 路线负例，不能写成可靠 ACT baseline。
17,候选诊断负例播放顺序,grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,抓取门控 trajectory-conditioned chunk BC 候选,video,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --close-phase 0.22 --release-phase 0.78 --near-threshold 0.11 --release-distance 0.095 --open-gripper 0.037 --close-gripper 0.015 --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --stop-on-unsafe --log-every 500",该 seed 的放置指标成功，但 grasp_success=False、ever_grasp_success=False；慢速动作和夹爪门控仍没有形成真实抓取/抬升。,docs/grasp_gated_trajectory_act_report.md；outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.json,只能作为 trajectory-conditioned chunk BC 控制层诊断负例，不能写成已稳定抓取。
18,候选诊断负例播放顺序,trajectory_prior_residual_bc_v1_candidate,分阶段轨迹先验 + residual BC action head 候选,video,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\trajectory_prior_residual_bc_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_prior_residual_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_prior_residual_bc\trajectory_prior_residual_bc_v1_candidate_20260721_040050.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --residual-scale 0.25 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --gripper-kp 900 --gripper-force 180 --friction 3.0 --log-every 500",该 seed 放置成功且 tcp_grasp_lift_success=True，但 grasp_success=False、strict_grasp_lift_success=False；说明结构化接触阶段先验改善闭环放置和 TCP 抬升，但仍不能写成严格抓取成功。,docs/trajectory_prior_residual_bc_report.md；outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.json,只能作为 trajectory-conditioned BC / ACT 路线的结构化先验诊断候选，不能写成纯 BC、完整官方 ACT、OpenVLA/OFT 或真实 WidowX 结果。
19,候选诊断负例播放顺序,timing_aware_trajectory_prior_residual_bc_v1_candidate,时序感知分阶段轨迹先验 + residual BC action head 候选,video,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,0.0,12.2,12.2,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_timing_aware_trajectory_prior_residual_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\timing_aware_trajectory_prior_residual_bc\timing_aware_trajectory_prior_residual_bc_v1_candidate_20260721_070442.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 3500 --viewer --duration 90 --speed 0.05 --residual-scale 0.02 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --gripper-kp 900 --gripper-force 180 --friction 3.0 --log-every 500",最终参数 residual-scale=0.02 下 seed0 放置成功且 tcp_grasp_lift_success=True，但 grasp_success=False、strict_grasp_lift_success=False；5+5 评测显示 train-range 5/5、held-out 4/5，说明强时序先验和很小 residual 可恢复放置与 TCP 抬升，但严格抓取仍未解决。,docs/timing_aware_trajectory_prior_residual_bc_report.md；outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.json,只能作为 trajectory-conditioned BC / ACT 路线的时序先验诊断候选，不能写成完整官方 ACT、OpenVLA/OFT、稳定严格抓取或真实 WidowX 结果。
20,候选诊断负例播放顺序,preference_trajectory_post_training_v1_candidate,偏好加权 trajectory-kNN 后训练候选,video,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_trajectory_post_training_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_20260720_165005.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",该 seed 的放置指标成功，但 grasp_success=False；偏好权重改善了训练范围目标距离，却没有形成真实抓取/抬升。,docs/preference_trajectory_post_training_report.md；outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.json,只能作为 trajectory-level preference/reward-weighted 后训练负例，不能写成在线 RL 或真实偏好优化成功。
21,候选诊断负例播放顺序,preference_trajectory_post_training_v1_ranked_objective_candidate,episode-ranked preference trajectory-kNN dense objective 候选,video,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",sample-stride=8 的 ranked objective 让 train-range 放置达到 4/5，但 held-out 0/5；固定 seed0 视频 success=False、tcp_grasp_lift_success=False、grasp_success=False，说明它仍没有解决真实抓取或泛化。,docs/preference_trajectory_post_training_v1_ranked_objective_summary.md；outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.json,只能写成离线 trajectory-level ranking/preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。
22,候选诊断负例播放顺序,preference_trajectory_post_training_v1_ranked_fast_candidate,episode-ranked preference trajectory-kNN 快速后训练候选,video,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_fast_candidate_20260721_075041.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",ranked preference objective 的来源更清楚，train-range 放置 2/5、held-out 0/5；seed0 有放置和 TCP 抬升轨迹，但 grasp_success=False、strict_grasp_lift_success=False。,docs/preference_trajectory_post_training_v1_ranked_fast_summary.md；outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.json,只能写成离线 trajectory-level ranking/preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。
23,候选诊断负例播放顺序,preference_trajectory_post_training_v1_tcp_lift_rank_candidate,TCP 抬升排序偏好 trajectory-kNN 后训练候选,video,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_tcp_lift_rank_candidate_20260721_090438.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",tcp-lift preference objective 让 train-range 放置 5/5 且 TCP 抬升 5/5；但 grasp_success=False、strict_grasp_lift_success=False，held-out 只有 1/5 放置且 TCP 抬升 0/5。,docs/preference_trajectory_post_training_v1_tcp_lift_rank_report.md；outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.json,只能写成离线 placed/tcp-lift ranking preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。
