编号,论文或答辩位置,类型,建议标题,证据文件,配套证据,中文图注/表注/讲解,可支撑结论,论文红线,打开命令
V00,答辩开场,视频,总览视频,outputs/presentation_clips/00_defense_video_reel.mp4,docs/video_presentation_storyboard.html；docs/video_evidence_gallery.html,用一个短片快速串起任务、baseline、trajectory/ACT、action-head、语言泛化和 domain randomization 代理。,可作为答辩开场的定性总览。,总览视频不能替代分项量化表。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4"""
V01,答辩阶段 1,视频,任务与数据链路,outputs/presentation_clips/01_task_data_oracle.mp4,docs/task_bc_stage_report.md；docs/evaluation_summary.csv,展示 expert、structured waypoint 和 replay，证明桌面抓取/放置链路可解且示范可复现。,可支撑环境、任务、数据采集和 replay 验证已经闭环。,expert、structured waypoint 和 replay 不能写成 learned VLA。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\01_task_data_oracle.mp4"""
V02,答辩阶段 2,视频,普通 BC 对照,outputs/presentation_clips/02_basic_bc_baselines.mp4,docs/task_bc_stage_report.md；docs/failure_mode_taxonomy.md,展示 linear/MLP BC 失败和 kNN 轨迹记忆差异。,可支撑普通简单 BC 在接触、夹紧、抬升和泛化上的不足。,普通 BC 不能写成语言理解、任务泛化或 VLA 后训练结果。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4"""
V03,答辩阶段 3,视频,Trajectory / ACT / Diffusion 对照,outputs/presentation_clips/03_trajectory_act_diffusion.mp4,docs/trajectory_act_stage_report.md；docs/trajectory_act_experiment_record.md；docs/trajectory_act_failure_diagnosis.md,展示 trajectory-conditioned BC / ACT-style / Diffusion baseline，说明历史观测和动作块接口已经建立。,可支撑 trajectory-conditioned BC / ACT 阶段完成，并有中文实验记录和失败诊断。,当前是 state-only 或轻量本地 baseline，不能写成完整官方 ACT 或完整视觉 Diffusion Policy。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\03_trajectory_act_diffusion.mp4"""
V04,答辩阶段 4,视频,Action-head / PEFT proxy,outputs/presentation_clips/04_action_head_peft_proxy.mp4,docs/action_head_stage_report.md；docs/model_resource_summary.csv,展示 action-head、Adapter、LoRA-style 和 CLIP proxy 的闭环表现与资源规模。,可支撑轻量 action-head/PEFT proxy 的资源比较和失败边界。,Adapter/LoRA-style 是本地 proxy，不是 OpenVLA LoRA；CLIP 不是机器人 VLA。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\04_action_head_peft_proxy.mp4"""
V05,答辩阶段 5,视频,语言/空间泛化,outputs/presentation_clips/05_language_generalization.mp4,docs/language_generalization_summary.csv；docs/failure_mode_taxonomy.md,展示 leftmost-to-bowl 等语言/空间变化任务。,可支撑语言泛化测试已经建立，当前 learned proxy 多数没有形成真实泛化。,规则、对象特征、language token 或 frozen CLIP action head 不能写成完整 VLA 语义泛化。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\05_language_generalization.mp4"""
V06,答辩阶段 6,视频,MuJoCo domain randomization 代理,outputs/presentation_clips/06_domain_randomization_proxy.mp4,docs/domain_randomization_summary.md；docs/isaac_domain_randomization_handoff.md,展示低摩擦、弱夹爪和执行器扰动下的代表行为。,可支撑 MuJoCo domain randomization 代理评测已完成，Isaac 交接门禁已准备。,不能写成 Isaac 已运行，也不能写成真实 WidowX sim-to-real 迁移成功或失败。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\06_domain_randomization_proxy.mp4"""
C01,答辩追问 候选负例,诊断视频,Trajectory phase template BC 候选,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,docs/trajectory_phase_template_bc_report.md；outputs/evaluations/trajectory_phase_template_bc_v1.json,展示显式 phase 模板仍不能稳定解决真实抓取和抬升。,可用于解释为什么候选改进没有升级为正式可靠 baseline。,grasp_successes=0 的候选负例不能写成稳定抓取成功。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\trajectory_phase_template_bc_v1_candidate_seed1.mp4"""
C02,答辩追问 候选负例,诊断视频,Grasp-gated trajectory-conditioned chunk BC 候选,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,docs/grasp_gated_trajectory_act_report.md；outputs/evaluations/grasp_gated_trajectory_act_v1_candidate.json,展示加入保守夹爪门控和慢速动作后，trajectory-conditioned chunk BC 仍缺乏严格抓取成功。,可支撑失败不是单纯 viewer 速度太快造成的。,原始放置成功不能写成稳定抓取成功；必须同时报告 strict grasp 口径。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4"""
C03,答辩追问 候选负例,诊断视频,Grasp-gated Torch ACT 候选,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,docs/grasp_gated_trajectory_act_report.md；outputs/evaluations/grasp_gated_trajectory_act_v1_candidate.json,展示 Torch ACT-style 在相同夹爪门控和慢速动作下仍不能稳定完成抓取/放置。,可用于说明当前 ACT-style baseline 的主要瓶颈是接触和抓取阶段建模。,不能写成完整官方 ACT，也不能把候选诊断写成正式成功结果。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4"""
C04,答辩追问 候选负例,诊断视频,Grasp-gated trajectory-kNN 候选,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.mp4,docs/grasp_gated_trajectory_knn_report.md；outputs/evaluations/grasp_gated_trajectory_knn_v1.json,展示单独夹爪门控不能把轨迹记忆转化为真实抓取策略。,可支撑 trajectory-kNN 的训练范围成功更像记忆而不是泛化控制。,训练范围成功不能写成策略泛化，grasp_successes=0 不能写成稳定抓取。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_trajectory_knn_v1_candidate_seed0.mp4"""
C05,答辩追问 候选负例,诊断视频,Preference trajectory post-training 候选,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,docs/preference_trajectory_post_training_report.md；outputs/evaluations/preference_trajectory_post_training_v1.json,展示偏好加权 trajectory 后训练主要改善训练范围轨迹复现，留出和严格抓取仍不足。,可支撑轻量偏好/后训练候选已做诊断，但未形成正式稳定策略。,不能写成在线 RL、真实 preference optimization 或真实抓取成功。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_trajectory_post_training_v1_candidate_seed0.mp4"""
C06,答辩追问 上界诊断,诊断视频,Grasp/Lift 子策略上界诊断,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,docs/grasp_lift_subpolicy_probe_report.md；outputs/evaluations/grasp_lift_subpolicy_probe_v1_candidate.json,展示 scripted expert / IK 控制上界能完成放置和 TCP 抬升，但标准 grasp_success 口径仍需单独报告。,可用于解释 trajectory-conditioned BC / ACT 失败不是因为环境完全不可执行抓放流程。,不能写成 learned BC/ACT/VLA baseline 成功，也不能替代真实 WidowX 验证。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4"""
