版本,方法,阶段,视频类型,任务,seed,结果,失败模式,证据用途,目标距离,末端到物体距离,物体高度,抓取标志,视频文件,元数据文件,论文可写,论文红线
trajectory_knn_chunk_bc_v1,Trajectory-kNN Action-Chunk BC,trajectory_memory_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0111,0.1780,0.0249,False,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,训练范围成功不能写成策略泛化
torch_act_state_chunk_v1,PyTorch State Transformer ACT,torch_act_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0563,0.3053,0.0249,False,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_v1_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,不能写成完整视觉 ACT
torch_act_state_chunk_cuda_v1,PyTorch State Transformer ACT CUDA,torch_act_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0736,0.2928,0.0249,False,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整视觉 ACT
phase_conditioned_torch_act_v1,Phase-Conditioned PyTorch State ACT,torch_act_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.1537,0.0249,False,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,outputs/videos/phase_conditioned_torch_act_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整视觉 ACT
torch_act_cvae_state_chunk_v1,PyTorch State ACT-CVAE-lite,torch_act_cvae_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0875,0.3146,0.0249,False,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整视觉 ACT 或机器人 ACT 复现
visual_feature_act_lite_v1,Visual-Feature ACT-lite,visual_feature_act_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2279,0.0249,False,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,outputs/videos/visual_feature_act_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成端到端 CNN/Transformer 视觉 ACT
visual_act_cnn_cvae_v1,Visual ACT-CNN-CVAE-lite,visual_act_cnn_cvae_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2645,0.0249,False,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,outputs/videos/visual_act_cnn_cvae_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成官方完整 ACT 或真实机器人视觉 ACT 复现
object_language_action_head_lite_v1,Object-Language Action Head-lite,vla_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2890,0.0249,False,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,outputs/videos/object_language_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成 pretrained VLA 后训练
reward_weighted_action_head_lite_v1,Reward-Weighted Action Head-lite,reward_weighted_bc_post_training,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.4072,0.0249,False,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,outputs/videos/reward_weighted_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成在线 RL 或真实 preference optimization
phase_conditioned_action_head_lite_v1,Phase-Conditioned Action Head-lite,phase_conditioned_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.1876,0.0249,False,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成学出了完整任务规划
adapter_action_head_lite_v1,Adapter Action Head-lite,peft_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.3361,0.0249,False,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,outputs/videos/adapter_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成 pretrained VLA LoRA/Adapter
lora_action_head_lite_v1,LoRA-style Action Head-lite,peft_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2818,0.0249,False,outputs/videos/lora_action_head_lite_v1_seed0.mp4,outputs/videos/lora_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成 pretrained VLA LoRA/Adapter
vision_language_action_head_lite_v1,Vision-Language Action Head-lite,vla_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2770,0.0249,False,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,outputs/videos/vision_language_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成 pretrained VLA 后训练
clip_action_head_lite_v1,Frozen CLIP Action Head-lite,pretrained_vlm_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0894,0.2027,0.0249,False,outputs/videos/clip_action_head_lite_v1_seed0.mp4,outputs/videos/clip_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练
multi_task_object_action_head_lite_v1,Multi-task Object-Language Action Head-lite,multi_task_action_head_proxy,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.2108,0.2522,0.0333,False,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,outputs/videos/multi_task_object_action_head_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成真正多任务 VLA 泛化
expert_scripted_language_v1,expert,language_oracle,语言/空间泛化片段,move_leftmost_to_bowl,200,success=True,成功样例,成功样例,0.0143,-,0.0249,-,outputs/videos/expert_scripted_language_v1_seed200.mp4,outputs/videos/expert_scripted_language_v1_seed200.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
structured_waypoint_policy_v1,structured_waypoint_policy,structured_control_baseline,语言/空间泛化片段,move_leftmost_to_bowl,200,success=True,成功样例,成功样例,0.0143,0.1885,0.0249,False,outputs/videos/structured_waypoint_policy_v1_language_seed200.mp4,outputs/videos/structured_waypoint_policy_v1_language_seed200.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,不能写成 learned VLA 或语言泛化模型
torch_act_state_chunk_cuda_v1,torch_act_cuda,torch_act_baseline,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.6208,0.0249,False,outputs/videos/torch_act_state_chunk_cuda_v1_language_seed200.mp4,outputs/videos/torch_act_state_chunk_cuda_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成完整视觉 ACT
torch_act_cvae_state_chunk_v1,torch_act_cvae,torch_act_cvae_baseline,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2370,0.0249,False,outputs/videos/torch_act_cvae_state_chunk_v1_language_seed200.mp4,outputs/videos/torch_act_cvae_state_chunk_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成完整视觉 ACT 或机器人 ACT 复现
visual_feature_act_lite_v1,visual_feature_act,visual_feature_act_baseline,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.1992,0.0249,False,outputs/videos/visual_feature_act_lite_v1_language_seed200.mp4,outputs/videos/visual_feature_act_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成端到端 CNN/Transformer 视觉 ACT
object_language_action_head_lite_v1,object_action_head,vla_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2847,0.0249,False,outputs/videos/object_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/object_language_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成 pretrained VLA 后训练
reward_weighted_action_head_lite_v1,reward_weighted_action_head,reward_weighted_bc_post_training,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2448,0.0249,False,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.mp4,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成在线 RL 或真实 preference optimization
phase_conditioned_action_head_lite_v1,phase_action_head,phase_conditioned_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2331,0.1411,0.0249,False,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.mp4,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成学出了完整任务规划
adapter_action_head_lite_v1,adapter_action_head,peft_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2841,0.0249,False,outputs/videos/adapter_action_head_lite_v1_language_seed200.mp4,outputs/videos/adapter_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成 pretrained VLA LoRA/Adapter
lora_action_head_lite_v1,lora_action_head,peft_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2851,0.0249,False,outputs/videos/lora_action_head_lite_v1_language_seed200.mp4,outputs/videos/lora_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成 pretrained VLA LoRA/Adapter
vision_language_action_head_lite_v1,vision_language_action_head,vla_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.3307,0.1679,0.0249,False,outputs/videos/vision_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/vision_language_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成 pretrained VLA 后训练
clip_action_head_lite_v1,clip_action_head,pretrained_vlm_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2377,0.0249,False,outputs/videos/clip_action_head_lite_v1_language_seed200.mp4,outputs/videos/clip_action_head_lite_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练
multi_task_object_action_head_lite_v1,multi_task_object_action_head,multi_task_action_head_proxy,语言/空间泛化片段,move_leftmost_to_bowl,400,success=False,语言/空间泛化失败,失败模式样例,0.3761,0.1227,0.0249,False,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.mp4,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成真正多任务 VLA 泛化
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy,torch_diffusion_policy_baseline,语言/空间泛化片段,move_leftmost_to_bowl,200,success=False,语言/空间泛化失败,失败模式样例,0.2387,0.2442,0.0249,False,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,不能写成完整视觉 Diffusion Policy
clip_core_v2_multitask_v1,clip_action_head,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,420,success=False,语言/空间泛化失败,失败模式样例,0.2682,0.2687,0.0249,False,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,仅作定性视频证据，量化结论以 CSV 评测表为准
clip_core_v2_multitask_v1,clip_action_head,extra_video_evidence,补充片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.1196,0.2827,0.0249,False,outputs/videos/clip_core_v2_multitask_v1_seed0.mp4,outputs/videos/clip_core_v2_multitask_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
clip_semantic_ood_hard_leftmost_cube,clip_semantic_waypoint,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,1300,success=True,成功样例,成功样例,0.0091,-,-,False,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.mp4,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
clip_semantic_ood_paraphrase_blue_to_red,clip_semantic_waypoint,extra_video_evidence,补充片段,place_blue_cube_red_pad,700,success=False,目标选择/放置偏差,失败模式样例,0.1051,-,-,False,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.json,可写作策略产生了明显目标偏差，物体没有被放到目标区域，适合支撑放置精度和任务条件化不足的分析。,仅作定性视频证据，量化结论以 CSV 评测表为准
clip_semantic_waypoint_core_v2_v1,clip_semantic_waypoint,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,420,success=True,成功样例,成功样例,0.0091,-,-,False,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_aware_phase_gated_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.1401,0.3372,0.0249,False,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_aware_trajectory_knn_v1_candidate,contact_aware_trajectory_knn,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0111,0.1781,0.0249,False,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_hold_weighted_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.2391,0.2483,0.0249,False,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_phase_gated_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.1393,0.2072,0.0249,False,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_stage_demo_torch_act_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.1719,0.1020,0.0304,False,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_stage_phase_action_head_v1_candidate,phase_action_head,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,101,success=True,成功样例,候选方法诊断证据,0.0528,0.1388,0.0242,False,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
contact_stage_subpolicy_v1_candidate,contact_stage_subpolicy,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0090,-,0.0249,False,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
core_v2_expert_leftmost_cube_holdout,expert,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,420,success=True,成功样例,成功样例,0.0091,-,0.0249,-,outputs/videos/core_v2_expert_leftmost_cube_seed420.mp4,outputs/videos/core_v2_expert_leftmost_cube_seed420.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
object_action_head_core_v2_train20_failure,object_action_head,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,420,success=False,语言/空间泛化失败,失败模式样例,0.2682,0.2311,0.0249,False,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.mp4,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.json,可写作普通 state/action 或轻量代理模型缺少可靠语言与空间泛化能力，不能把一次语言失败归因于完整 VLA 失效。,仅作定性视频证据，量化结论以 CSV 评测表为准
domain_randomization_structured_low_friction_v1,structured_waypoint_policy,extra_video_evidence,补充片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0233,0.1785,0.0249,False,outputs/videos/domain_randomization_structured_low_friction_seed0.mp4,outputs/videos/domain_randomization_structured_low_friction_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
domain_randomization_trajectory_knn_low_friction_v1,trajectory_knn_bc,extra_video_evidence,补充片段,place_blue_cube_blue_pad,0,success=False,扰动域接触鲁棒性不足,失败模式样例,0.0729,0.1534,0.0249,False,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.mp4,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.json,可写作 MuJoCo 扰动域下的接触鲁棒性下降，不能写成 Isaac 或真实机器人验证。,仅作定性视频证据，量化结论以 CSV 评测表为准；不能写成真实机器人验证
domain_randomization_visual_act_cnn_cvae_low_friction_v1,visual_act_cnn_cvae,extra_video_evidence,补充片段,place_blue_cube_blue_pad,0,success=False,扰动域接触鲁棒性不足,失败模式样例,0.0893,0.2403,0.0249,False,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.mp4,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.json,可写作 MuJoCo 扰动域下的接触鲁棒性下降，不能写成 Isaac 或真实机器人验证。,仅作定性视频证据，量化结论以 CSV 评测表为准；不能写成真实机器人验证
grasp_gated_torch_act_state_chunk_v1_candidate,grasp_gated_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.0831,0.2358,0.0249,False,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
