序号,版本,阶段,方法,artifact,主任务训练范围,主任务留出范围,语言/空间泛化,可训练参数,模型大小MB,固定视频,入包状态,简介,论文边界,主任务viewer命令,语言viewer命令
11,trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,Trajectory-kNN Action-Chunk BC,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,5/5,0/5,0/5,0,32.923,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,通过,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
12,torch_act_state_chunk_v1,torch_act_baseline,PyTorch State Transformer ACT,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,1/5,0/5,0/5,178183,0.708,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,通过,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
13,torch_act_state_chunk_cuda_v1,torch_act_baseline,PyTorch State Transformer ACT CUDA,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,0/5,1/5,0/5,178183,0.709,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,通过,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_cuda_20260720_095442.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_cuda_20260720_095442.pt"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
14,phase_conditioned_torch_act_v1,torch_act_baseline,Phase-Conditioned PyTorch State ACT,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,0/5,0/5,未登记,178503,0.710,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,通过,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\phase_conditioned_torch_act_20260720_132228.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",
15,torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,PyTorch State ACT-CVAE-lite,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,0/5,0/5,0/5,198375,0.789,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,通过,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act_cvae\torch_act_cvae_state_chunk_20260720_084842.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act_cvae\torch_act_cvae_state_chunk_20260720_084842.pt"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
16,visual_feature_act_lite_v1,visual_feature_act_baseline,Visual-Feature ACT-lite,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,0/5,0/5,0/5,186247,0.743,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,通过,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_feature_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_feature_act\visual_feature_act_lite_20260720_091256.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_feature_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_feature_act\visual_feature_act_lite_20260720_091256.pt"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
17,visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,Visual ACT-CNN-CVAE-lite,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,0/5,0/5,未登记,219335,0.873,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,通过,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_act_cnn_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_act_cnn_cvae\visual_act_cnn_cvae_20260720_115104.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",
18,object_language_action_head_lite_v1,vla_action_head_proxy,Object-Language Action Head-lite,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,1/5,0/5,0/5,106759,0.384,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,通过,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\object_action_head_lite_20260720_044703.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\object_action_head_lite_20260720_044703.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
19,reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,Reward-Weighted Action Head-lite,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,0/5,0/5,0/5,106759,0.385,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,通过,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\reward_weighted_action_head\reward_weighted_action_head_lite_20260720_080912.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\reward_weighted_action_head\reward_weighted_action_head_lite_20260720_080912.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
20,phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,Phase-Conditioned Action Head-lite,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,0/5,1/5,0/5,338915,1.219,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,通过,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_phase_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\phase_action_head\phase_conditioned_action_head_lite_20260720_082827.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --phase-mode progress --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.0003 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_phase_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\phase_action_head\phase_conditioned_action_head_lite_20260720_082827.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --phase-mode progress --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.0003 --stop-on-unsafe --log-every 500"
21,adapter_action_head_lite_v1,peft_action_head_proxy,Adapter Action Head-lite,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,0/5,1/5,0/5,2119,0.393,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,通过,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\adapter_action_head_lite_20260720_072914.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\adapter_action_head_lite_20260720_072914.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
22,lora_action_head_lite_v1,peft_action_head_proxy,LoRA-style Action Head-lite,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,0/5,1/5,0/5,2104,0.392,outputs/videos/lora_action_head_lite_v1_seed0.mp4,通过,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\lora_action_head_lite_20260720_072913.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_peft_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\peft_action_head\lora_action_head_lite_20260720_072913.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
23,vision_language_action_head_lite_v1,vla_action_head_proxy,Vision-Language Action Head-lite,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,0/5,0/5,0/5,137991,0.495,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,通过,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_vision_language_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\vision_language_action_head\vision_language_action_head_lite_20260720_063123.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_vision_language_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\vision_language_action_head\vision_language_action_head_lite_20260720_063123.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
24,clip_action_head_lite_v1,pretrained_vlm_action_head_proxy,Frozen CLIP Action Head-lite,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,0/5,0/5,0/5,302599,1.090,outputs/videos/clip_action_head_lite_v1_seed0.mp4,通过,冻结 pretrained openai/clip-vit-base-patch32 图像/文本编码器，只训练轻量 MLP action head；这是通用 VLM 表征代理，不是 OpenVLA 或机器人 VLA。,冻结 pretrained openai/clip-vit-base-patch32 图像/文本编码器，只训练轻量 MLP action head；这是通用 VLM 表征代理，不是 OpenVLA 或机器人 VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_action_head\clip_action_head_lite_20260720_074716.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --vision-interval 64 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_action_head\clip_action_head_lite_20260720_074716.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --vision-interval 64 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
25,multi_task_object_action_head_lite_v1,multi_task_action_head_proxy,Multi-task Object-Language Action Head-lite,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,0/5,0/5,0/5,106759,0.384,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,通过,使用 blue-pad、red-pad 和 leftmost-to-bowl 三个数据源训练；离线误差正常但闭环仍失败，说明 naive 多任务符号 action head 不足。,使用 blue-pad、red-pad 和 leftmost-to-bowl 三个数据源训练；离线误差正常但闭环仍失败，说明 naive 多任务符号 action head 不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\multi_task_object_action_head_lite_20260720_051331.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\multi_task_object_action_head_lite_20260720_051331.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.2 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
