版本,谱系层级,状态,类别,父级/依赖,阶段或登记阶段,方法或对象,artifact或输出,量化结果或成功门槛,首选视频或展示,关系说明,论文边界
trajectory_conditioned_chunk_bc_v2,3. Trajectory / ACT / Diffusion 对照,formal_current,动作块 / 轨迹条件,act_lite_chunk_bc_v1；demo_place_blue_cube_blue_pad_v1,trajectory_conditioned_baseline,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,train=0/5；held-out=0/5；language=0/5；params=375352,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,正式 MuJoCo 方法版本；承接 act_lite_chunk_bc_v1；demo_place_blue_cube_blue_pad_v1；后续关联 grasp_gated_trajectory_act_v1_candidate,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。
trajectory_knn_chunk_bc_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,动作块 / 轨迹条件,knn_bc_v1；trajectory_conditioned_chunk_bc_v2,trajectory_memory_baseline,Trajectory-kNN Action-Chunk BC,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,train=5/5；held-out=0/5；language=0/5；params=0,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 knn_bc_v1；trajectory_conditioned_chunk_bc_v2；后续关联 preference_trajectory_post_training_v1_candidate；contact_aware_trajectory_knn_v1_candidate,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。
torch_act_state_chunk_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,trajectory_conditioned_chunk_bc_v2；demo_place_blue_cube_blue_pad_v1,torch_act_baseline,PyTorch State Transformer ACT,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,train=1/5；held-out=0/5；language=0/5；params=178183,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 trajectory_conditioned_chunk_bc_v2；demo_place_blue_cube_blue_pad_v1；后续关联 grasp_gated_trajectory_act_v1_candidate,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。
torch_act_state_chunk_cuda_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,torch_act_state_chunk_v1,torch_act_baseline,PyTorch State Transformer ACT CUDA,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,train=0/5；held-out=1/5；language=0/5；params=178183,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 torch_act_state_chunk_v1,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。
phase_conditioned_torch_act_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,torch_act_state_chunk_v1；trajectory_phase_labels_v1,torch_act_baseline,Phase-Conditioned PyTorch State ACT,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,train=0/5；held-out=0/5；language=未登记；params=178503,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 torch_act_state_chunk_v1；trajectory_phase_labels_v1；后续关联 phase_weighted_torch_act_v1_candidate,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。
torch_act_cvae_state_chunk_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,torch_act_state_chunk_v1,torch_act_cvae_baseline,PyTorch State ACT-CVAE-lite,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,train=0/5；held-out=0/5；language=0/5；params=198375,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 torch_act_state_chunk_v1,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。
visual_feature_act_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,torch_act_state_chunk_v1；rgb_feature_grid_v1,visual_feature_act_baseline,Visual-Feature ACT-lite,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,train=0/5；held-out=0/5；language=0/5；params=186247,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 torch_act_state_chunk_v1；rgb_feature_grid_v1,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。
visual_act_cnn_cvae_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,ACT-style,visual_feature_act_lite_v1；torch_act_cvae_state_chunk_v1,visual_act_cnn_cvae_baseline,Visual ACT-CNN-CVAE-lite,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,train=0/5；held-out=0/5；language=未登记；params=219335,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 visual_feature_act_lite_v1；torch_act_cvae_state_chunk_v1,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。
object_language_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,VLA/action-head 代理,demo_place_blue_cube_blue_pad_v1；object_state_language_tokens_v1,vla_action_head_proxy,Object-Language Action Head-lite,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,train=1/5；held-out=0/5；language=0/5；params=106759,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1；object_state_language_tokens_v1,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。
reward_weighted_action_head_lite_v1,5. 其他正式版本,formal_current,轻量后训练代理,object_language_action_head_lite_v1；reward_weighted_bc_proxy_v1,reward_weighted_bc_post_training,Reward-Weighted Action Head-lite,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,train=0/5；held-out=0/5；language=0/5；params=106759,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；reward_weighted_bc_proxy_v1,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。
phase_conditioned_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,VLA/action-head 代理,object_language_action_head_lite_v1；trajectory_phase_labels_v1,phase_conditioned_action_head_proxy,Phase-Conditioned Action Head-lite,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,train=0/5；held-out=1/5；language=0/5；params=338915,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；trajectory_phase_labels_v1,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。
adapter_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,参数高效后训练代理,object_language_action_head_lite_v1；adapter_proxy_v1,peft_action_head_proxy,Adapter Action Head-lite,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,train=0/5；held-out=1/5；language=0/5；params=2119,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；adapter_proxy_v1,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。
lora_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,参数高效后训练代理,object_language_action_head_lite_v1；lora_proxy_v1,peft_action_head_proxy,LoRA-style Action Head-lite,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,train=0/5；held-out=1/5；language=0/5；params=2104,outputs/videos/lora_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；lora_proxy_v1,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 LoRA-style 低秩输出残差；这是本地 PEFT 代理实验，不是 pretrained VLA LoRA。
vision_language_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,VLA/action-head 代理,object_language_action_head_lite_v1；rgb_feature_grid_v1,vla_action_head_proxy,Vision-Language Action Head-lite,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,train=0/5；held-out=0/5；language=0/5；params=137991,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；rgb_feature_grid_v1,冻结 MuJoCo RGB 视觉统计特征、语言 token 和机器人本体状态，训练轻量 MLP action head；不是 pretrained VLM/VLA。
clip_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,VLM 表征代理,vision_language_action_head_lite_v1；frozen_clip_feature_proxy_v1,pretrained_vlm_action_head_proxy,Frozen CLIP Action Head-lite,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,train=0/5；held-out=0/5；language=0/5；params=302599,outputs/videos/clip_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 vision_language_action_head_lite_v1；frozen_clip_feature_proxy_v1,冻结 pretrained openai/clip-vit-base-patch32 图像/文本编码器，只训练轻量 MLP action head；这是通用 VLM 表征代理，不是 OpenVLA 或机器人 VLA。
multi_task_object_action_head_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,多任务 action-head 代理,object_language_action_head_lite_v1；language_generalization_task_set_v1,multi_task_action_head_proxy,Multi-task Object-Language Action Head-lite,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,train=0/5；held-out=0/5；language=0/5；params=106759,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 object_language_action_head_lite_v1；language_generalization_task_set_v1,使用 blue-pad、red-pad 和 leftmost-to-bowl 三个数据源训练；离线误差正常但闭环仍失败，说明 naive 多任务符号 action head 不足。
openvla_dataset_bridge_v1,6. 已完成前置/候选诊断,completed_prerequisite,vla_data_bridge,demo_place_blue_cube_blue_pad_v1,data_bridge,OpenVLA dataset bridge,data/vla_bridge/openvla_dataset_bridge_v1/samples.jsonl,至少 60 条 image + instruction + state + action 样本；manifest 和 gallery 均存在,docs/openvla_bridge_gallery.html；data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成数据格式桥接，不能写成 OpenVLA LoRA 或真实机器人 VLA 后训练完成
openvla_feasibility_check_v1,6. 已完成前置/候选诊断,completed_prerequisite,runtime_feasibility,openvla_dataset_bridge_v1,environment_audit,OpenVLA local feasibility check,outputs/evaluations/openvla_feasibility_check_v1.json,记录 GPU、依赖、OpenVLA cache 和 bridge sample 数，并给出是否适合本地训练的 verdict,not_applicable,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成本地可行性审计，不能写成真实 OpenVLA 训练结果
robot_vla_action_head_handoff_v1,6. 已完成前置/候选诊断,completed_prerequisite,robot_vla_handoff_gate,openvla_dataset_bridge_v1；openvla_feasibility_check_v1,robot_vla_action_head_handoff,Robot VLA action-head handoff gate,docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json,明确真实 robot VLA action-head 的输入契约、远端运行门槛、输出契约、入包门禁和论文红线,not_applicable,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成真实 robot VLA action-head 运行交接门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_run_pack_v1,6. 已完成前置/候选诊断,completed_prerequisite,robot_vla_remote_run_pack,openvla_dataset_bridge_v1；openvla_feasibility_check_v1；robot_vla_action_head_handoff_v1,robot_vla_remote_run_pack,Robot VLA remote run pack,docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；outputs/robot_vla_remote_run_pack/robot_vla_remote_run_pack_v1.zip,打包 bridge 数据、handoff 文档、远端命令模板、结果回填 schema 和 zip 归档，供 48GB+ GPU 或云端继续执行,not_applicable,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成真实 robot VLA action-head 的远端运行包，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_result_intake_v1,6. 已完成前置/候选诊断,completed_prerequisite,robot_vla_result_intake_gate,robot_vla_remote_run_pack_v1,robot_vla_result_intake,Robot VLA remote result intake gate,docs/robot_vla_remote_result_intake.md；docs/robot_vla_remote_result_intake.csv；outputs/evaluations/robot_vla_remote_result_intake_v1.json,检查远端返回的模型、feature cache、评测 JSON、主任务视频、语言视频和报告是否足以进入正式方法包,not_applicable,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成真实 robot VLA action-head 的结果回填门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
preference_trajectory_post_training_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,post_training_negative_control,trajectory_knn_chunk_bc_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Preference-weighted trajectory-kNN diagnostic candidate,outputs/preference_post_training/preference_trajectory_post_training_20260720_165005.npz,已完成负例诊断：train-range 5/5、held-out 0/5、grasp_successes=0，必须同时报告抓取失败,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成偏好加权轨迹后训练候选负例，不能写成在线 RL、真实人类偏好优化或 OpenVLA 后训练成功
grasp_gated_trajectory_act_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,trajectory_act_control_diagnostic,trajectory_conditioned_chunk_bc_v2；torch_act_state_chunk_v1；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Grasp-gated trajectory-conditioned BC / Torch ACT diagnostic,docs/grasp_gated_trajectory_act_report.md；outputs/evaluations/grasp_gated_trajectory_act_v1_candidate.json,已完成控制层负例诊断：trajectory 变体 train-range 原始放置 2/5、held-out 原始放置 1/5；Torch ACT 变体 train-range 0/5、held-out 1/5；两者 strict_grasp_lift_success=0/10,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4；outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成抓取门控和慢速动作诊断负例，不能写成 trajectory-conditioned BC 或 ACT 已稳定抓取，也不能写成新的正式学习方法
phase_weighted_torch_act_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,trajectory_act_loss_diagnostic,phase_conditioned_torch_act_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Phase-weighted Torch ACT diagnostic candidate,docs/phase_weighted_torch_act_report.md；outputs/evaluations/phase_weighted_torch_act_v1_candidate.json；outputs/torch_act/phase_weighted_torch_act_v1_candidate_20260720_225108.pt,已完成负例诊断：train-range 0/5、held-out 0/5、ever_grasp_success=0/10、strict_grasp_lift_success=0/10,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成阶段加权 ACT 训练诊断负例，不能写成完整 ACT、稳定抓取成功或真实 VLA 后训练结果
contact_phase_gated_torch_act_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,trajectory_act_contact_phase_diagnostic,phase_weighted_torch_act_v1_candidate；grasp_gated_trajectory_act_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact/phase-gated Torch ACT diagnostic candidate,outputs/torch_act/contact_phase_gated_torch_act_v1_candidate_20260721_003304.pt；docs/contact_phase_gated_torch_act_report.md；outputs/evaluations/contact_phase_gated_torch_act_v1_candidate.json,已完成接触/阶段门控 ACT 诊断：train-range 放置 success=0/5、held-out 放置 success=0/5；tcp_grasp_lift_success=1/10；standard ever_grasp_success=0/10；strict_grasp_lift_success=0/10,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成 Torch ACT-style 接触/阶段诊断负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果
grasp_lift_subpolicy_probe_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,control_upper_bound_diagnostic,scripted_expert_v1；structured_waypoint_policy_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Scripted grasp/lift upper-bound diagnostic probe,docs/grasp_lift_subpolicy_probe_report.md；outputs/evaluations/grasp_lift_subpolicy_probe_v1_candidate.json,已完成上界诊断：train-range 放置 success=5/5、held-out 放置 success=5/5、tcp_grasp_lift_success=10/10，但标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成 scripted expert / IK 控制上界和指标口径诊断，不能写成 learned BC/ACT/VLA baseline 成功，也不能替代真实 WidowX 验证
contact_aware_trajectory_knn_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,trajectory_contact_feature_diagnostic,trajectory_knn_chunk_bc_v1；grasp_lift_subpolicy_probe_v1_candidate；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact-aware / relative-geometry trajectory-kNN diagnostic candidate,outputs/trajectory_knn_bc/contact_aware_trajectory_knn_20260720_233445.npz；docs/contact_aware_trajectory_knn_report.md；outputs/evaluations/contact_aware_trajectory_knn_v1_candidate.json,已完成相对几何特征消融诊断：train-range 放置 success=5/5、tcp_grasp_lift_success=5/5；held-out 放置 success=1/5、tcp_grasp_lift_success=0/5；标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成相对几何特征消融候选，不能写成可靠 learned grasp、完整 ACT、OpenVLA/RT-2 或真实 WidowX 机器人验证结果
preference_contact_aware_trajectory_post_training_v1_candidate,6. 已完成前置/候选诊断,completed_diagnostic,trajectory_preference_contact_feature_diagnostic,preference_trajectory_post_training_v1_candidate；contact_aware_trajectory_knn_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Preference-weighted + relative-geometry trajectory-conditioned BC diagnostic candidate,outputs/preference_post_training/preference_contact_aware_trajectory_post_training_20260721_000449.npz；docs/preference_contact_aware_trajectory_post_training_report.md；outputs/evaluations/preference_contact_aware_trajectory_post_training_v1_candidate.json,已完成偏好加权+相对几何诊断：train-range 放置 success=5/5、tcp_grasp_lift_success=5/5；held-out 放置 success=1/5、tcp_grasp_lift_success=0/5；标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只能写成本地 trajectory-level preference weighting 与 relative-geometry 特征叠加候选，不能写成在线 RL、真实人类偏好优化、完整 ACT、OpenVLA/OFT 或真实 WidowX 结果
robot_vla_action_head_lite_v1,7. 后续计划/外部依赖,planned,robot_vla_post_training,robot_vla_remote_result_intake_v1,robot_vla_action_head,Robot VLA frozen backbone + action head,outputs/robot_vla_action_head/robot_vla_action_head_lite_v1.*,train-range 至少超过 vision_language_action_head_lite_v1 的 0/5；失败也必须保存视频和失败模式,outputs/videos/robot_vla_action_head_lite_v1_seed0.mp4；outputs/videos/robot_vla_action_head_lite_v1_language_seed200.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只有确实使用机器人预训练 VLA 表征时，才能写成 VLA 表征 action head 后训练
robot_vla_adapter_lite_v1,7. 后续计划/外部依赖,planned,robot_vla_post_training,robot_vla_action_head_lite_v1,robot_vla_adapter,Robot VLA frozen backbone + Adapter,outputs/robot_vla_adapter/robot_vla_adapter_lite_v1.*,与 robot_vla_action_head_lite_v1 同任务、同 seed、同指标比较 trainable parameters、训练时间、显存和成功率,outputs/videos/robot_vla_adapter_lite_v1_seed0.mp4；outputs/videos/robot_vla_adapter_lite_v1_language_seed200.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,必须区别于当前 adapter_action_head_lite_v1；后者只是本地 proxy，不是真实机器人 VLA Adapter
robot_vla_lora_lite_v1,7. 后续计划/外部依赖,planned,robot_vla_post_training,robot_vla_action_head_lite_v1,robot_vla_lora,Robot VLA LoRA-lite,outputs/robot_vla_lora/robot_vla_lora_lite_v1.*,模型可训练；可导出固定 seed0 视频；能与 action-head only 和 Adapter 同表比较,outputs/videos/robot_vla_lora_lite_v1_seed0.mp4；outputs/videos/robot_vla_lora_lite_v1_language_seed200.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,本机 6GB GPU 不适合直接训练真实 OpenVLA LoRA；若迁移云端训练，必须记录硬件和依赖版本
preference_trajectory_post_training_v1,7. 后续计划/外部依赖,planned,post_training,video_evidence_index_v1；failure_mode_taxonomy_v1,trajectory_preference_post_training,Trajectory preference / reward-weighted post-training,outputs/preference_post_training/preference_trajectory_post_training_v1.*,必须记录 preference 来源、权重策略、成功/失败轨迹比例；不能只保留成功片段,outputs/videos/preference_trajectory_post_training_v1_seed0.mp4,下一阶段注册表条目；只有满足 gate 并回填评测、资源和视频后，planned 才能进入正式方法包。,只有 trajectory-level preference 或轻量 RL 真实实现后，才能写成偏好优化/后训练实验
