version,category,registry_status,readiness_status,formal_method_allowed_now,blocking_condition,required_next_action,required_return_artifacts,source_evidence,paper_boundary
grasp_lift_subpolicy_probe_v1_candidate,control_upper_bound_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/grasp_lift_subpolicy_probe_report.md；outputs/evaluations/grasp_lift_subpolicy_probe_v1_candidate.json；outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,scripted_expert_v1；structured_waypoint_policy_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,只能写成 scripted expert / IK 控制上界和指标口径诊断，不能写成 learned BC/ACT/VLA baseline 成功，也不能替代真实 WidowX 验证
contact_stage_subpolicy_v1_candidate,contact_stage_subpolicy_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/contact_stage_subpolicy_report.md；outputs/evaluations/contact_stage_subpolicy_v1_candidate.json；outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,grasp_lift_subpolicy_probe_v1_candidate；contact_phase_gated_torch_act_v1_candidate；strict_grasp_success_audit_v1,只能写成 scripted subpolicy / contact-stage 上界诊断，不能写成 BC、ACT、Diffusion Policy、VLA 或真实 WidowX 学习策略成功
gripper_timing_contact_probe_v1_candidate,gripper_timing_contact_probe_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/gripper_timing_contact_probe_report.md；outputs/evaluations/gripper_timing_contact_probe_v1_candidate.json；outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,grasp_lift_subpolicy_probe_v1_candidate；contact_stage_subpolicy_v1_candidate；strict_grasp_success_audit_v1,只能写成 gripper timing/contact 诊断，不是 learned BC、ACT、Diffusion Policy、VLA 后训练或真实 WidowX 成功
contact_stage_demo_torch_act_v1_candidate,contact_stage_demo_act_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/torch_act/contact_stage_demo_torch_act_v1_candidate_20260721_014152.pt；docs/contact_stage_demo_torch_act_report.md；outputs/evaluations/contact_stage_demo_torch_act_v1_candidate.json；outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,contact_stage_demo_v1；contact_stage_subpolicy_v1_candidate；contact_aware_phase_gated_torch_act_v1_candidate；strict_grasp_success_audit_v1,只能写成更干净 scripted 示范训练 ACT 的负例诊断，不能写成完整官方 ACT、稳定抓取、VLA 后训练或真实 WidowX 结果
contact_stage_phase_action_head_v1_candidate,contact_stage_phase_action_head_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/phase_action_head/contact_stage_phase_action_head_v1_candidate_20260721_020941.npz；docs/contact_stage_phase_action_head_report.md；outputs/evaluations/contact_stage_phase_action_head_v1_candidate.json；outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,contact_stage_demo_v1；contact_stage_demo_torch_act_v1_candidate；phase_conditioned_action_head_lite_v1；strict_grasp_success_audit_v1,只能写成轻量 phase action-head 负例诊断，不能写成稳定抓取、真实 VLA 后训练、OpenVLA LoRA、完整 ACT 或真实 WidowX 结果
contact_hold_weighted_torch_act_v1_candidate,contact_hold_weighted_act_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/torch_act/contact_hold_weighted_torch_act_v1_candidate_20260721_023759.pt；docs/contact_hold_weighted_torch_act_report.md；outputs/evaluations/contact_hold_weighted_torch_act_v1_candidate.json；outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,contact_stage_demo_v1；contact_stage_demo_torch_act_v1_candidate；contact_stage_phase_action_head_v1_candidate；strict_grasp_success_audit_v1,只能写成接触保持加权 ACT 负例/局部抬升迹象诊断，不能写成完整官方 ACT、稳定抓取、真实 VLA 后训练或真实 WidowX 结果
contact_aware_trajectory_knn_v1_candidate,trajectory_contact_feature_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/trajectory_knn_bc/contact_aware_trajectory_knn_20260720_233445.npz；docs/contact_aware_trajectory_knn_report.md；outputs/evaluations/contact_aware_trajectory_knn_v1_candidate.json；outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,trajectory_knn_chunk_bc_v1；grasp_lift_subpolicy_probe_v1_candidate；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,只能写成相对几何特征消融候选，不能写成可靠 learned grasp、完整 ACT、OpenVLA/RT-2 或真实 WidowX 机器人验证结果
preference_contact_aware_trajectory_post_training_v1_candidate,trajectory_preference_contact_feature_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/preference_post_training/preference_contact_aware_trajectory_post_training_20260721_000449.npz；docs/preference_contact_aware_trajectory_post_training_report.md；outputs/evaluations/preference_contact_aware_trajectory_post_training_v1_candidate.json；outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,preference_trajectory_post_training_v1_candidate；contact_aware_trajectory_knn_v1_candidate；strict_grasp_success_audit_v1,只能写成本地 trajectory-level preference weighting 与 relative-geometry 特征叠加候选，不能写成在线 RL、真实人类偏好优化、完整 ACT、OpenVLA/OFT 或真实 WidowX 结果
robot_vla_action_head_lite_v1,robot_vla_post_training,planned,waiting_remote_result,否,远端真实 VLA 结果尚未回填：0/6 个必需文件存在。,把 48GB+ GPU 或云端运行结果放回规定路径，再运行 build_robot_vla_remote_result_intake.py。,outputs/robot_vla_action_head/robot_vla_action_head_lite_v1.*；outputs/videos/robot_vla_action_head_lite_v1_seed0.mp4；outputs/videos/robot_vla_action_head_lite_v1_language_seed200.mp4,robot_vla_remote_result_intake_v1,只有确实使用机器人预训练 VLA 表征时，才能写成 VLA 表征 action head 后训练
robot_vla_adapter_lite_v1,robot_vla_post_training,planned,waiting_robot_vla_action_head,否,依赖 robot_vla_action_head_lite_v1 先完成并通过回填门禁。,先完成 action-head only 真实 VLA 版本，再用同任务、同 seed 对比 Adapter/LoRA。,outputs/robot_vla_adapter/robot_vla_adapter_lite_v1.*；outputs/videos/robot_vla_adapter_lite_v1_seed0.mp4；outputs/videos/robot_vla_adapter_lite_v1_language_seed200.mp4,robot_vla_action_head_lite_v1,必须区别于当前 adapter_action_head_lite_v1；后者只是本地 proxy，不是真实机器人 VLA Adapter
robot_vla_lora_lite_v1,robot_vla_post_training,planned,waiting_robot_vla_action_head,否,依赖 robot_vla_action_head_lite_v1 先完成并通过回填门禁。,先完成 action-head only 真实 VLA 版本，再用同任务、同 seed 对比 Adapter/LoRA。,outputs/robot_vla_lora/robot_vla_lora_lite_v1.*；outputs/videos/robot_vla_lora_lite_v1_seed0.mp4；outputs/videos/robot_vla_lora_lite_v1_language_seed200.mp4,robot_vla_action_head_lite_v1,本机 6GB GPU 不适合直接训练真实 OpenVLA LoRA；若迁移云端训练，必须记录硬件和依赖版本
preference_ranked_trajectory_post_training_v1_candidate,trajectory_ranked_preference_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/preference_post_training/preference_ranked_trajectory_post_training_20260721_031024.npz；docs/preference_ranked_trajectory_post_training_report.md；outputs/evaluations/preference_ranked_trajectory_post_training_v1_candidate.json；outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,preference_trajectory_post_training_v1_candidate；preference_contact_aware_trajectory_post_training_v1_candidate；strict_grasp_success_audit_v1,只能写成 episode-ranked preference trajectory 后训练候选诊断，不能写成在线 RL、真实人类偏好优化、完整 ACT、真实 VLA 后训练或真实 WidowX 结果
preference_trajectory_post_training_v1_ranked_objective_candidate,trajectory_ranked_objective_preference_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/preference_post_training/preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz；docs/preference_trajectory_post_training_v1_ranked_objective_summary.md；outputs/evaluations/preference_trajectory_post_training_v1_ranked_objective_candidate.json；outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,preference_trajectory_post_training_v1_candidate；preference_post_training_upgrade_gate_v1；strict_grasp_success_audit_v1,只能写成 ranked-objective preference trajectory 后训练候选负例，不能写成正式 preference post-training、在线 RL、真实人类偏好优化、OpenVLA/OFT 或真实 WidowX 结果
preference_trajectory_post_training_v1_ranked_fast_candidate,trajectory_ranked_fast_preference_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/preference_post_training/preference_trajectory_post_training_v1_ranked_fast_candidate_20260721_075041.npz；docs/preference_trajectory_post_training_v1_ranked_fast_summary.md；outputs/evaluations/preference_trajectory_post_training_v1_ranked_fast_candidate.json；outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,preference_trajectory_post_training_v1_ranked_objective_candidate；preference_post_training_upgrade_gate_v1；strict_grasp_success_audit_v1,只能写成 ranked-fast preference trajectory 后训练候选诊断，不能写成正式后训练、在线 RL、真实 VLA 后训练或真实 WidowX 成功
preference_trajectory_post_training_v1,post_training,planned,ready_for_local_redesign,否,已有 candidate 负例，但正式版本需要更明确的 preference/ranking objective。,先定义 preference 来源和权重策略，再保存正式评测、视频和失败模式。,outputs/preference_post_training/preference_trajectory_post_training_v1.*；outputs/videos/preference_trajectory_post_training_v1_seed0.mp4,video_evidence_index_v1；failure_mode_taxonomy_v1,只有 trajectory-level preference 或轻量 RL 真实实现后，才能写成偏好优化/后训练实验
isaac_domain_randomization_handoff_v1,isaac_handoff_gate,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/isaac_domain_randomization_handoff.md；docs/isaac_domain_randomization_handoff.csv；outputs/evaluations/isaac_domain_randomization_handoff_v1.json；not_applicable,domain_randomization_eval_v1,只能写成 Isaac domain randomization 运行交接门禁，不能写成 isaac_domain_randomization_v1 已完成，也不能写成真实 WidowX 验证
isaac_domain_randomization_v1,sim_to_real_proxy,planned_external_dependency,waiting_isaac_runtime,否,Isaac/omni/isaacgym 运行时尚不可用；handoff 中 waiting_external_runtime=1。,在安装 Isaac/Isaac Sim 的环境运行同任务，并回填 JSON、CSV、报告和视频。,outputs/evaluations/isaac_domain_randomization_v1.json；outputs/videos/isaac_domain_randomization_v1_seed0.mp4,isaac_domain_randomization_handoff_v1,当前 MuJoCo domain_randomization_eval_v1 不能写成 Isaac；只有 Isaac 场景真正运行后才能登记为完成
real_widowx_validation_handoff_v1,real_robot_handoff_gate,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/real_widowx_validation_handoff.md；docs/real_widowx_validation_handoff.csv；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv；not_applicable,structured_waypoint_policy_v1；domain_randomization_eval_v1；isaac_domain_randomization_handoff_v1,只能写成真实 WidowX 验证协议和 trial 模板，不能写成 real_widowx_validation_v1 已完成，也不能用 MuJoCo 或 Isaac 视频代替真实验证
real_widowx_validation_v1,real_robot_validation,planned_external_dependency,waiting_real_robot_trials,否,真实 WidowX trial 尚未采集；当前只有 50 行 trial 模板。,真实机械臂可用后按安全门禁执行 20-50 次 trial，并保存相机视频和 sim-to-real gap。,outputs/real_robot/real_widowx_validation_v1.csv；outputs/videos/real_widowx_validation_v1_trial001.mp4,real_widowx_validation_handoff_v1；best_learned_policy_or_robot_vla_policy,真实机械臂不可用时必须保持未完成状态，不能用 MuJoCo 或 Isaac 视频代替真实验证
