version,category,status,depends_on,stage_to_register,method_name,primary_artifact,evaluation_required,resource_required,video_outputs,success_gate,paper_boundary
contact_phase_gated_torch_act_v1_candidate,trajectory_act_contact_phase_diagnostic,completed_diagnostic,phase_weighted_torch_act_v1_candidate；grasp_gated_trajectory_act_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact/phase-gated Torch ACT diagnostic candidate,outputs/torch_act/contact_phase_gated_torch_act_v1_candidate_20260721_003304.pt；docs/contact_phase_gated_torch_act_report.md；outputs/evaluations/contact_phase_gated_torch_act_v1_candidate.json,docs/contact_phase_gated_torch_act_report.csv；outputs/evaluations/contact_phase_gated_torch_act_v1_candidate.json,trainable_params=178503；train_time_seconds=48.76；peak_vram_mb=0；phase_one_hot=True；grasp_gate=True；not_registered_as_formal_method,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,已完成接触/阶段门控 ACT 诊断：train-range 放置 success=0/5、held-out 放置 success=0/5；tcp_grasp_lift_success=1/10；standard ever_grasp_success=0/10；strict_grasp_lift_success=0/10,只能写成 Torch ACT-style 接触/阶段诊断负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果
contact_aware_phase_gated_torch_act_v1_candidate,trajectory_act_contact_geometry_diagnostic,completed_diagnostic,contact_phase_gated_torch_act_v1_candidate；contact_aware_trajectory_knn_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact-aware relative-geometry + phase-gated Torch ACT diagnostic candidate,outputs/torch_act/contact_aware_phase_gated_torch_act_v1_candidate_20260721_004944.pt；docs/contact_aware_phase_gated_torch_act_report.md；outputs/evaluations/contact_aware_phase_gated_torch_act_v1_candidate.json,docs/contact_aware_phase_gated_torch_act_report.csv；outputs/evaluations/contact_aware_phase_gated_torch_act_v1_candidate.json,trainable_params=181383；train_time_seconds=46.63；peak_vram_mb=0；augment_relative=True；phase_one_hot=True；grasp_gate=True；not_registered_as_formal_method,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,已完成相对几何 + 阶段门控 ACT 诊断：train-range 放置 success=0/5、held-out 放置 success=0/5；tcp_grasp_lift_success=0/10；standard ever_grasp_success=0/10；strict_grasp_lift_success=0/10,只能写成 trajectory-conditioned / ACT-style 相对几何消融负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果
grasp_lift_subpolicy_probe_v1_candidate,control_upper_bound_diagnostic,completed_diagnostic,scripted_expert_v1；structured_waypoint_policy_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Scripted grasp/lift upper-bound diagnostic probe,docs/grasp_lift_subpolicy_probe_report.md；outputs/evaluations/grasp_lift_subpolicy_probe_v1_candidate.json,docs/grasp_lift_subpolicy_probe_report.csv；outputs/evaluations/grasp_lift_subpolicy_probe_v1_candidate.json,not_registered_as_formal_method；uses scripted expert / IK control；trainable_params=0,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,已完成上界诊断：train-range 放置 success=5/5、held-out 放置 success=5/5、tcp_grasp_lift_success=10/10，但标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成 scripted expert / IK 控制上界和指标口径诊断，不能写成 learned BC/ACT/VLA baseline 成功，也不能替代真实 WidowX 验证
contact_stage_subpolicy_v1_candidate,contact_stage_subpolicy_diagnostic,completed_diagnostic,grasp_lift_subpolicy_probe_v1_candidate；contact_phase_gated_torch_act_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact-stage scripted subpolicy diagnostic candidate,docs/contact_stage_subpolicy_report.md；outputs/evaluations/contact_stage_subpolicy_v1_candidate.json,docs/contact_stage_subpolicy_report.csv；outputs/evaluations/contact_stage_subpolicy_v1_candidate.json,not_registered_as_formal_method；uses scripted expert / IK control；trainable_params=0；stage trace includes approach/descend/close/lift/transfer/place/release/retreat/hold,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,已完成分阶段接触上界诊断：train-range 放置 success=5/5、held-out 放置 success=5/5、tcp_grasp_lift_success=10/10，但标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成 scripted subpolicy / contact-stage 上界诊断，不能写成 BC、ACT、Diffusion Policy、VLA 或真实 WidowX 学习策略成功
gripper_timing_contact_probe_v1_candidate,gripper_timing_contact_probe_diagnostic,completed_diagnostic,grasp_lift_subpolicy_probe_v1_candidate；contact_stage_subpolicy_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Gripper timing/contact diagnostic probe,docs/gripper_timing_contact_probe_report.md；outputs/evaluations/gripper_timing_contact_probe_v1_candidate.json,docs/gripper_timing_contact_probe_report.csv；outputs/evaluations/gripper_timing_contact_probe_v1_candidate.json,not_registered_as_formal_method；scripted gripper timing/contact probe；trainable_params=0,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,已完成夹爪时序诊断：12 行参数扫描，固定 seed0 放置 success=True、tcp_grasp_lift_success=True，但标准 grasp_success=False,只能写成 gripper timing/contact 诊断，不是 learned BC、ACT、Diffusion Policy、VLA 后训练或真实 WidowX 成功
contact_stage_demo_torch_act_v1_candidate,contact_stage_demo_act_diagnostic,completed_diagnostic,contact_stage_demo_v1；contact_stage_subpolicy_v1_candidate；contact_aware_phase_gated_torch_act_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Torch ACT trained on contact-stage scripted success demos,outputs/torch_act/contact_stage_demo_torch_act_v1_candidate_20260721_014152.pt；docs/contact_stage_demo_torch_act_report.md；outputs/evaluations/contact_stage_demo_torch_act_v1_candidate.json,docs/contact_stage_demo_torch_act_report.csv；outputs/evaluations/contact_stage_demo_torch_act_v1_candidate.json,not_registered_as_formal_method；trainable_params=181383；source_samples=34080；contact_stage_demo_v1 demos=12,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,已完成候选诊断：contact-stage 成功示范 12/12；训练后 ACT train-range 放置 success=0/5、held-out success=0/5、tcp_grasp_lift_success=0/10、strict_grasp_lift_success=0/10,只能写成更干净 scripted 示范训练 ACT 的负例诊断，不能写成完整官方 ACT、稳定抓取、VLA 后训练或真实 WidowX 结果
contact_stage_phase_action_head_v1_candidate,contact_stage_phase_action_head_diagnostic,completed_diagnostic,contact_stage_demo_v1；contact_stage_demo_torch_act_v1_candidate；phase_conditioned_action_head_lite_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Phase action-head trained on contact-stage scripted success demos,outputs/phase_action_head/contact_stage_phase_action_head_v1_candidate_20260721_020941.npz；docs/contact_stage_phase_action_head_report.md；outputs/evaluations/contact_stage_phase_action_head_v1_candidate.json,docs/contact_stage_phase_action_head_report.csv；outputs/evaluations/contact_stage_phase_action_head_v1_candidate.json,not_registered_as_formal_method；trainable_params=338915；samples=34080；phase_mode=progress；contact_stage_demo_v1 demos=12,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,已完成候选诊断：contact-stage 成功示范 12/12；phase action-head train-range 放置 success=0/5、held-out success=1/5，但 tcp_grasp_lift_success=0/10、strict_grasp_lift_success=0/10,只能写成轻量 phase action-head 负例诊断，不能写成稳定抓取、真实 VLA 后训练、OpenVLA LoRA、完整 ACT 或真实 WidowX 结果
contact_hold_weighted_torch_act_v1_candidate,contact_hold_weighted_act_diagnostic,completed_diagnostic,contact_stage_demo_v1；contact_stage_demo_torch_act_v1_candidate；contact_stage_phase_action_head_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact-hold weighted Torch ACT trained on contact-stage success demos,outputs/torch_act/contact_hold_weighted_torch_act_v1_candidate_20260721_023759.pt；docs/contact_hold_weighted_torch_act_report.md；outputs/evaluations/contact_hold_weighted_torch_act_v1_candidate.json,docs/contact_hold_weighted_torch_act_report.csv；outputs/evaluations/contact_hold_weighted_torch_act_v1_candidate.json,not_registered_as_formal_method；trainable_params=198407；source_samples=34080；horizon/history=12/12；contact_stage_demo_v1 demos=12,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,已完成候选诊断：train-range 放置 success=0/5、held-out success=0/5；seed0 tcp_grasp_lift_success=True，但 standard ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成接触保持加权 ACT 负例/局部抬升迹象诊断，不能写成完整官方 ACT、稳定抓取、真实 VLA 后训练或真实 WidowX 结果
contact_aware_trajectory_knn_v1_candidate,trajectory_contact_feature_diagnostic,completed_diagnostic,trajectory_knn_chunk_bc_v1；grasp_lift_subpolicy_probe_v1_candidate；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Contact-aware / relative-geometry trajectory-kNN diagnostic candidate,outputs/trajectory_knn_bc/contact_aware_trajectory_knn_20260720_233445.npz；docs/contact_aware_trajectory_knn_report.md；outputs/evaluations/contact_aware_trajectory_knn_v1_candidate.json,docs/contact_aware_trajectory_knn_report.csv；outputs/evaluations/contact_aware_trajectory_knn_v1_candidate.json,not_registered_as_formal_method；inherits trajectory-kNN memory table size；augment_relative=True,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,已完成相对几何特征消融诊断：train-range 放置 success=5/5、tcp_grasp_lift_success=5/5；held-out 放置 success=1/5、tcp_grasp_lift_success=0/5；标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成相对几何特征消融候选，不能写成可靠 learned grasp、完整 ACT、OpenVLA/RT-2 或真实 WidowX 机器人验证结果
preference_contact_aware_trajectory_post_training_v1_candidate,trajectory_preference_contact_feature_diagnostic,completed_diagnostic,preference_trajectory_post_training_v1_candidate；contact_aware_trajectory_knn_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Preference-weighted + relative-geometry trajectory-conditioned BC diagnostic candidate,outputs/preference_post_training/preference_contact_aware_trajectory_post_training_20260721_000449.npz；docs/preference_contact_aware_trajectory_post_training_report.md；outputs/evaluations/preference_contact_aware_trajectory_post_training_v1_candidate.json,docs/preference_contact_aware_trajectory_post_training_report.csv；outputs/evaluations/preference_contact_aware_trajectory_post_training_v1_candidate.json,not_registered_as_formal_method；inherits trajectory-kNN memory table size；augment_relative=True；trajectory-level preference weighting,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,已完成偏好加权+相对几何诊断：train-range 放置 success=5/5、tcp_grasp_lift_success=5/5；held-out 放置 success=1/5、tcp_grasp_lift_success=0/5；标准 ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成本地 trajectory-level preference weighting 与 relative-geometry 特征叠加候选，不能写成在线 RL、真实人类偏好优化、完整 ACT、OpenVLA/OFT 或真实 WidowX 结果
robot_vla_action_head_lite_v1,robot_vla_post_training,planned,robot_vla_remote_result_intake_v1,robot_vla_action_head,Robot VLA frozen backbone + action head,outputs/robot_vla_action_head/robot_vla_action_head_lite_v1.*,docs/evaluation_summary.csv；docs/language_generalization_summary.csv,docs/model_resource_summary.csv,outputs/videos/robot_vla_action_head_lite_v1_seed0.mp4；outputs/videos/robot_vla_action_head_lite_v1_language_seed200.mp4,train-range 至少超过 vision_language_action_head_lite_v1 的 0/5；失败也必须保存视频和失败模式,只有确实使用机器人预训练 VLA 表征时，才能写成 VLA 表征 action head 后训练
robot_vla_adapter_lite_v1,robot_vla_post_training,planned,robot_vla_action_head_lite_v1,robot_vla_adapter,Robot VLA frozen backbone + Adapter,outputs/robot_vla_adapter/robot_vla_adapter_lite_v1.*,docs/evaluation_summary.csv；docs/language_generalization_summary.csv,docs/model_resource_summary.csv,outputs/videos/robot_vla_adapter_lite_v1_seed0.mp4；outputs/videos/robot_vla_adapter_lite_v1_language_seed200.mp4,与 robot_vla_action_head_lite_v1 同任务、同 seed、同指标比较 trainable parameters、训练时间、显存和成功率,必须区别于当前 adapter_action_head_lite_v1；后者只是本地 proxy，不是真实机器人 VLA Adapter
robot_vla_lora_lite_v1,robot_vla_post_training,planned,robot_vla_action_head_lite_v1,robot_vla_lora,Robot VLA LoRA-lite,outputs/robot_vla_lora/robot_vla_lora_lite_v1.*,docs/evaluation_summary.csv；docs/language_generalization_summary.csv,docs/model_resource_summary.csv,outputs/videos/robot_vla_lora_lite_v1_seed0.mp4；outputs/videos/robot_vla_lora_lite_v1_language_seed200.mp4,模型可训练；可导出固定 seed0 视频；能与 action-head only 和 Adapter 同表比较,本机 6GB GPU 不适合直接训练真实 OpenVLA LoRA；若迁移云端训练，必须记录硬件和依赖版本
preference_ranked_trajectory_post_training_v1_candidate,trajectory_ranked_preference_diagnostic,completed_diagnostic,preference_trajectory_post_training_v1_candidate；preference_contact_aware_trajectory_post_training_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Episode-ranked preference + relative-geometry trajectory-kNN diagnostic candidate,outputs/preference_post_training/preference_ranked_trajectory_post_training_20260721_031024.npz；docs/preference_ranked_trajectory_post_training_report.md；outputs/evaluations/preference_ranked_trajectory_post_training_v1_candidate.json,docs/preference_ranked_trajectory_post_training_report.csv；outputs/evaluations/preference_ranked_trajectory_post_training_v1_candidate.json,not_registered_as_formal_method；samples=46728；segments=132；preference_mode=episode_rank；quick_diagnostic=2+2 episodes,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,已完成快速候选诊断：train-range 放置 success=2/2、held-out success=1/2；seed0 tcp_grasp_lift_success=True，但 standard ever_grasp_success=0/4、strict_grasp_lift_success=0/4,只能写成 episode-ranked preference trajectory 后训练候选诊断，不能写成在线 RL、真实人类偏好优化、完整 ACT、真实 VLA 后训练或真实 WidowX 结果
preference_trajectory_post_training_v1_ranked_objective_candidate,trajectory_ranked_objective_preference_diagnostic,completed_diagnostic,preference_trajectory_post_training_v1_candidate；preference_post_training_upgrade_gate_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Ranked-objective preference trajectory post-training diagnostic candidate,outputs/preference_post_training/preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz；docs/preference_trajectory_post_training_v1_ranked_objective_summary.md；outputs/evaluations/preference_trajectory_post_training_v1_ranked_objective_candidate.json,docs/preference_trajectory_post_training_v1_ranked_objective_report.csv；outputs/evaluations/preference_trajectory_post_training_v1_ranked_objective_candidate.json,not_registered_as_formal_method；samples=46728；preference_mode=episode_rank；sample_stride=8,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,已完成候选诊断：train-range 放置 4/5、held-out 0/5、标准抓取 0/10；固定 seed0 视频失败,只能写成 ranked-objective preference trajectory 后训练候选负例，不能写成正式 preference post-training、在线 RL、真实人类偏好优化、OpenVLA/OFT 或真实 WidowX 结果
preference_trajectory_post_training_v1_ranked_fast_candidate,trajectory_ranked_fast_preference_diagnostic,completed_diagnostic,preference_trajectory_post_training_v1_ranked_objective_candidate；preference_post_training_upgrade_gate_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Ranked-fast preference trajectory post-training diagnostic candidate,outputs/preference_post_training/preference_trajectory_post_training_v1_ranked_fast_candidate_20260721_075041.npz；docs/preference_trajectory_post_training_v1_ranked_fast_summary.md；outputs/evaluations/preference_trajectory_post_training_v1_ranked_fast_candidate.json,docs/preference_trajectory_post_training_v1_ranked_fast_report.csv；outputs/evaluations/preference_trajectory_post_training_v1_ranked_fast_candidate.json,not_registered_as_formal_method；episode_rank；fast candidate；quick evaluation,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,已完成快速候选诊断：train/held-out 仅作快速筛选；固定 seed0 success=True 但 grasp_success=False、strict_grasp_lift_success=False,只能写成 ranked-fast preference trajectory 后训练候选诊断，不能写成正式后训练、在线 RL、真实 VLA 后训练或真实 WidowX 成功
preference_trajectory_post_training_v1,post_training,planned,video_evidence_index_v1；failure_mode_taxonomy_v1,trajectory_preference_post_training,Trajectory preference / reward-weighted post-training,outputs/preference_post_training/preference_trajectory_post_training_v1.*,docs/evaluation_summary.csv；docs/data_efficiency_summary.csv,docs/model_resource_summary.csv,outputs/videos/preference_trajectory_post_training_v1_seed0.mp4,必须记录 preference 来源、权重策略、成功/失败轨迹比例；不能只保留成功片段,只有 trajectory-level preference 或轻量 RL 真实实现后，才能写成偏好优化/后训练实验
isaac_domain_randomization_handoff_v1,isaac_handoff_gate,completed_prerequisite,domain_randomization_eval_v1,isaac_domain_randomization_handoff,Isaac domain randomization handoff gate,docs/isaac_domain_randomization_handoff.md；docs/isaac_domain_randomization_handoff.csv；outputs/evaluations/isaac_domain_randomization_handoff_v1.json,not_applicable；不是策略模型,source_domain_specs；required_return_files；required_metrics；paper_boundary,not_applicable,明确 Isaac 复现实验的场景契约、扰动域、指标、回填文件和论文红线,只能写成 Isaac domain randomization 运行交接门禁，不能写成 isaac_domain_randomization_v1 已完成，也不能写成真实 WidowX 验证
isaac_domain_randomization_v1,sim_to_real_proxy,planned_external_dependency,isaac_domain_randomization_handoff_v1,isaac_domain_randomization,Isaac / Isaac Sim domain randomization,outputs/evaluations/isaac_domain_randomization_v1.json,docs/isaac_domain_randomization_summary.csv；docs/isaac_domain_randomization_summary.md,runtime Isaac/Isaac Sim version；GPU；scene config,outputs/videos/isaac_domain_randomization_v1_seed0.mp4,同桌面任务至少 5 次闭环评测；记录随机化参数、成功率、目标距离和 sim-to-sim gap,当前 MuJoCo domain_randomization_eval_v1 不能写成 Isaac；只有 Isaac 场景真正运行后才能登记为完成
real_widowx_validation_handoff_v1,real_robot_handoff_gate,completed_prerequisite,structured_waypoint_policy_v1；domain_randomization_eval_v1；isaac_domain_randomization_handoff_v1,real_widowx_validation_handoff,Real WidowX validation handoff gate,docs/real_widowx_validation_handoff.md；docs/real_widowx_validation_handoff.csv；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv,not_applicable；不是策略模型,safety_gates；trial_fields；trial_template_rows；required_return_files,not_applicable,明确真实机械臂 20-50 次 trial 的安全门禁、记录字段、视频回填和论文红线,只能写成真实 WidowX 验证协议和 trial 模板，不能写成 real_widowx_validation_v1 已完成，也不能用 MuJoCo 或 Isaac 视频代替真实验证
real_widowx_validation_v1,real_robot_validation,planned_external_dependency,real_widowx_validation_handoff_v1；best_learned_policy_or_robot_vla_policy,real_widowx_validation,Real WidowX tabletop validation,outputs/real_robot/real_widowx_validation_v1.csv,docs/real_widowx_validation_summary.csv；docs/real_widowx_validation_summary.md,robot model；camera；control rate；safety notes,outputs/videos/real_widowx_validation_v1_trial001.mp4,20-50 次真实任务测试；每次记录成功/失败、失败原因、物体初始位置、相机视频和 sim-to-real gap,真实机械臂不可用时必须保持未完成状态，不能用 MuJoCo 或 Isaac 视频代替真实验证
